IPR	description	ERR2985255	ERR2985256	ERR2985257	ERR2985258	ERR2985259	ERR2985260	ERR2985261	ERR2985262	ERR2985263	ERR2985264	ERR2985265	ERR2985266	ERR2985267	ERR2985268	ERR2985269	ERR2985270	ERR2985271	ERR2985272	ERR2985273	ERR2985274	ERR2985275	ERR2985276	ERR2985277	ERR2985278
IPR000084	PE-PGRS family, N-terminal	0	1	0	0	5	1	0	3	4	0	3	8	4	0	10	0	3	0	0	1	3	0	6	1
IPR000086	NUDIX hydrolase domain	4437	3501	2990	1849	2072	2534	3384	3771	2538	1876	2163	2894	3713	4924	1898	2630	1594	2865	2611	4287	2747	3731	2165	3094
IPR000089	Biotin/lipoyl attachment	1564	2572	3598	1302	1284	1836	1850	2634	1646	1138	1646	1897	3522	1681	945	3345	1244	3251	3030	3947	2663	1995	1016	2800
IPR000090	Flagellar motor switch protein FliG	143	137	53	124	77	92	118	186	126	83	80	160	310	145	74	44	88	119	93	339	168	137	85	185
IPR000092	Polyprenyl synthetase	1921	2589	3186	1291	1310	1822	2041	2766	1637	1214	1638	1761	3121	2097	1006	2874	1228	3453	3205	3469	2470	2125	1093	2722
IPR000095	CRIB domain	4	10	6	8	7	11	4	8	5	4	13	7	9	5	4	7	6	13	9	14	18	9	3	27
IPR000096	Serum amyloid A protein	1	4	1	0	2	2	7	3	1	1	1	2	3	0	1	0	0	0	2	4	1	11	0	0
IPR000100	Ribonuclease P	589	489	415	241	258	335	484	542	357	233	333	409	605	610	269	369	213	613	546	664	430	567	275	478
IPR000101	Gamma-glutamyltranspeptidase	1530	2299	4769	1118	1333	1987	1784	2475	1439	1196	1777	1680	3381	1663	912	4498	1053	2752	2528	3723	2556	1955	981	2862
IPR000102	Neuraxin/MAP1B repeat	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000103	Pyridine nucleotide-disulphide oxidoreductase, class-II	1426	1269	1874	643	662	854	1105	1462	982	572	844	999	1457	1590	602	1635	546	1206	1083	1632	1001	1256	693	1192
IPR000104	Antifreeze protein, type I	6	1	3	7	7	7	3	6	2	4	5	4	10	5	2	2	6	2	1	6	6	7	4	9
IPR000109	Proton-dependent oligopeptide transporter family	413	964	375	503	355	551	694	1037	546	337	512	575	815	463	271	294	482	335	292	916	864	744	307	958
IPR000111	Glycoside hydrolase family 27/36, conserved site	17	48	12	33	16	41	56	56	34	15	38	31	32	26	15	12	24	59	31	27	47	74	24	70
IPR000114	Ribosomal protein L16	1209	796	700	417	390	548	776	949	591	347	435	681	871	1250	449	598	347	668	626	1024	572	833	527	687
IPR000116	High mobility group protein HMGA	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
IPR000118	Granulin	1	3	1	0	0	0	1	2	1	1	1	0	1	0	0	0	0	0	0	4	1	2	3	3
IPR000119	Histone-like DNA-binding protein	2070	2215	2477	1421	1530	1718	1800	2315	1678	1329	1590	1824	2395	2312	1272	2265	1297	2511	2297	2661	1910	1930	1430	2070
IPR000121	PEP-utilising enzyme, C-terminal	2247	2662	3707	1649	1625	1801	2163	2797	2097	1478	1627	2403	3553	2424	1162	3349	1563	4604	4163	4078	2848	2425	1281	3195
IPR000123	RNA-directed DNA polymerase (reverse transcriptase), msDNA	54	69	182	56	48	36	41	62	56	49	36	58	151	64	44	167	45	43	35	158	59	49	49	44
IPR000125	Glycoside hydrolase, family 14A, bacterial	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IPR000126	Serine proteases, V8 family, serine active site	3	9	2	3	8	7	10	18	9	7	3	10	14	8	6	9	8	11	5	28	48	14	4	31
IPR000128	Progesterone receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR000131	ATP synthase, F1 complex, gamma subunit	3167	2466	2549	1269	1223	1534	2398	2702	1811	1138	1454	2021	2778	3359	1239	2372	1118	2411	2150	2998	1885	2599	1384	2091
IPR000132	Nitrilase/cyanide hydratase, conserved site	34	57	20	6	19	40	33	68	34	15	48	39	72	26	19	15	18	11	23	80	33	25	20	65
IPR000133	ER lumen protein retaining receptor	4	8	22	18	11	5	17	14	12	6	5	15	21	2	6	17	14	25	21	34	63	43	5	65
IPR000138	Hydroxymethylglutaryl-CoA lyase, active site	31	36	227	19	48	41	37	50	37	35	27	38	51	24	23	203	25	168	120	49	63	37	22	76
IPR000151	Ciliary neurotrophic factor, CNTF	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR000152	EGF-type aspartate/asparagine hydroxylation site	30	31	21	23	24	15	19	28	17	14	8	19	81	41	23	17	29	15	9	117	52	25	38	84
IPR000153	Reovirus, outer capsid sigma 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
IPR000156	Ran binding domain	1	24	6	8	5	5	19	18	3	5	5	8	16	2	5	8	5	8	6	6	11	19	4	24
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain	282	354	431	282	224	418	359	446	415	225	380	412	1766	304	266	399	208	1557	1485	1997	407	413	262	490
IPR000159	Ras-associating (RA) domain	2	2	0	2	0	0	1	0	0	3	1	0	0	3	3	2	2	0	1	1	1	1	1	1
IPR000160	GGDEF domain	8348	8942	13659	6360	5892	8989	7982	9703	10434	5429	8119	11313	19995	9027	3972	12721	5941	25174	23085	22344	13979	8518	4396	15242
IPR000162	GPCR, family 3, metabotropic glutamate receptor	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
IPR000163	Prohibitin	46	66	30	60	26	25	42	66	17	25	19	33	37	58	25	21	50	28	28	56	59	59	29	80
IPR000164	Histone H3/CENP-A	22	82	77	56	73	38	82	80	36	71	39	52	55	10	27	64	44	95	108	72	103	101	38	123
IPR000165	Glucoamylase	3	15	1	3	3	1	17	8	2	1	3	5	7	3	1	1	3	0	1	7	5	6	5	8
IPR000167	Dehydrin	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IPR000169	Cysteine peptidase, cysteine active site	64	153	186	132	59	118	230	204	113	45	94	122	187	84	60	149	114	226	171	221	285	288	55	376
IPR000170	High potential iron-sulphur protein	49	100	469	139	123	103	88	99	68	122	98	82	108	69	56	423	104	240	243	130	70	88	69	101
IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	1161	1575	2506	817	936	1478	1343	1699	1419	831	1359	1586	2748	1252	649	2292	749	1788	1582	3134	2255	1489	722	2512
IPR000175	Sodium:neurotransmitter symporter	150	350	85	214	147	200	238	377	75	144	180	99	250	167	153	68	188	580	532	282	255	290	182	250
IPR000176	mRNA methyltransferase-like	10	26	3	3	2	11	5	22	4	1	1	2	3	9	1	7	0	3	0	2	0	5	3	1
IPR000178	Translation initiation factor aIF-2, bacterial-like	86	144	195	72	77	86	102	146	81	77	79	102	165	120	63	192	88	209	196	193	116	129	72	143
IPR000180	Membrane dipeptidase, active site	6	7	2	6	4	9	2	7	4	0	19	4	14	4	0	2	1	4	0	8	12	5	1	15
IPR000182	GNAT domain	3469	4721	3580	2769	2467	3725	3786	5062	3284	2128	3237	3813	5923	4041	2065	3157	2458	4110	3480	7051	4213	4186	2339	4535
IPR000183	Ornithine/DAP/Arg decarboxylase	74	110	155	47	61	49	71	126	73	58	61	63	154	93	48	149	42	167	140	221	129	126	41	124
IPR000184	Bacterial surface antigen (D15)	708	1173	2141	672	644	803	764	1203	696	597	730	779	1589	822	456	1951	603	1936	1696	1815	1268	819	488	1470
IPR000185	Protein translocase subunit SecA	1309	839	697	347	346	481	847	966	734	353	439	793	969	1430	457	664	354	726	605	1203	546	837	599	645
IPR000186	Interleukin-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
IPR000187	Corticotropin-releasing factor	0	0	0	1	0	1	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
IPR000189	Prokaryotic transglycosylase, active site	164	199	239	140	116	144	119	187	140	122	107	120	264	170	104	201	119	566	386	330	194	139	124	189
IPR000192	Aminotransferase class V domain	5445	5561	3285	2533	2329	3593	3832	6100	3651	2114	3101	4138	6866	5913	2363	3004	2437	5183	4693	7807	4123	4303	2586	4659
IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	9918	6875	5450	3535	3046	4029	6615	7312	5311	2726	3668	5781	7834	10608	3694	4963	3315	7263	6671	8644	5330	7359	3996	5843
IPR000195	Rab-GTPase-TBC domain	22	63	90	67	15	26	98	75	43	29	43	42	85	24	44	78	71	110	89	107	260	105	43	288
IPR000196	Ribosomal protein L19/L19e	18	29	37	17	16	17	35	28	18	17	15	15	39	20	5	49	22	19	21	40	63	33	11	73
IPR000197	Zinc finger, TAZ-type	0	8	2	6	0	0	3	7	0	3	0	5	1	0	3	1	3	1	3	6	0	2	2	1
IPR000198	Rho GTPase-activating protein domain	5	24	13	7	8	18	15	33	7	3	18	9	33	10	14	13	5	21	13	42	25	11	13	36
IPR000199	Peptidase C3A/C3B, picornaviral	0	1	1	0	0	1	0	0	1	0	3	0	0	0	2	0	0	0	5	2	2	0	0	6
IPR000200	Peptidase C10, streptopain	33	32	20	28	16	37	21	35	20	16	32	21	36	32	11	20	29	84	79	36	15	21	16	21
IPR000203	GPS motif	2	10	2	1	5	1	5	7	3	0	0	4	2	2	1	1	1	4	3	7	2	4	1	5
IPR000208	RNA-directed RNA polymerase, flavivirus	0	3	1	18	4	0	0	1	0	4	0	0	0	0	0	0	8	0	0	0	0	0	1	0
IPR000209	Peptidase S8/S53 domain	4093	5389	4969	3171	2970	3514	4028	5655	3462	2590	3200	3800	6799	4572	3099	4456	2874	4154	3819	7662	3720	4331	3406	3919
IPR000210	BTB/POZ domain	11	28	28	24	16	13	25	26	7	25	10	6	27	10	13	17	28	8	8	38	25	34	16	27
IPR000217	Tubulin	27	192	171	95	56	63	215	195	64	60	69	76	176	48	37	157	83	107	104	216	268	247	43	288
IPR000218	Ribosomal protein L14P	2712	1839	1448	792	813	1129	1618	1968	1469	753	1026	1568	1774	2838	936	1357	754	1358	1282	2008	1255	1803	998	1372
IPR000219	Dbl homology (DH) domain	6	27	21	19	9	30	20	50	6	7	27	8	39	10	8	24	19	18	18	36	38	21	9	36
IPR000222	PPM-type phosphatase, divalent cation binding	25	77	67	45	22	28	74	66	38	21	29	37	60	29	32	63	44	36	40	59	124	109	23	140
IPR000223	Peptidase S26A, signal peptidase I	393	318	391	147	142	218	216	321	208	107	158	233	332	458	155	290	142	360	354	416	206	274	173	227
IPR000224	Phosphoprotein, vesiculovirus	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000225	Armadillo	16	160	56	30	22	29	76	168	23	16	22	25	89	17	23	47	32	33	33	90	105	77	28	154
IPR000227	Angiotensinogen	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR000232	Heat shock factor (HSF)-type, DNA-binding	10	23	23	19	11	6	26	24	8	9	4	21	25	6	15	20	21	37	34	26	113	23	13	106
IPR000233	Cadherin, cytoplasmic domain	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
IPR000236	Transactivation protein X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR000237	GRIP domain	6	12	3	4	3	2	4	9	0	2	2	3	5	6	0	5	2	0	1	7	8	4	5	3
IPR000238	Ribosome-binding factor A	174	247	470	155	160	148	189	271	224	133	133	229	347	225	110	397	130	387	348	437	285	198	141	320
IPR000239	GPCR kinase	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
IPR000241	Putative RNA methylase domain	584	688	849	394	395	484	499	772	451	357	425	507	848	642	314	851	348	1156	994	949	667	520	339	689
IPR000242	PTP type protein phosphatase	11	34	40	12	15	27	51	37	14	16	22	10	51	21	25	42	28	34	25	51	137	43	28	156
IPR000243	Peptidase T1A, proteasome beta-subunit	1	3	0	0	0	1	1	12	2	1	5	2	8	2	1	3	4	3	1	6	10	4	0	10
IPR000245	V-ATPase proteolipid subunit	3	14	27	12	5	10	18	35	3	9	11	9	16	5	4	12	4	38	40	22	23	27	4	26
IPR000246	Peptidase T2, asparaginase 2	410	819	255	381	240	546	576	867	387	215	479	468	865	407	222	216	332	312	299	1000	636	582	250	659
IPR000249	Microcompartment protein, bacteria	90	84	50	133	45	56	53	104	57	36	66	68	98	106	42	39	114	194	199	136	68	60	50	91
IPR000250	Peptidase G1	1	4	1	4	0	0	3	0	0	0	0	0	2	0	1	1	3	1	2	0	7	4	1	8
IPR000253	Forkhead-associated (FHA) domain	1036	1353	945	687	648	772	1046	1399	971	522	686	1174	2921	1037	584	825	635	892	860	3188	1446	1206	593	1723
IPR000254	Cellulose-binding domain, fungal	2	2	1	0	0	0	0	3	0	0	0	2	0	0	1	0	2	0	0	1	0	0	0	3
IPR000257	Uroporphyrinogen decarboxylase (URO-D)	1059	2131	3218	1065	1065	1310	1472	2209	1395	1003	1194	1528	2835	1170	704	3015	996	3235	2955	3153	2088	1631	743	2328
IPR000258	Bacterial ice-nucleation, octamer repeat	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	3	0
IPR000259	Fimbrial-type adhesion domain	15	35	7	248	18	20	19	31	14	15	25	23	13	15	21	9	238	38	41	6	45	16	24	45
IPR000260	NADH:ubiquinone oxidoreductase chain 4, N-terminal	59	64	177	38	60	41	62	76	56	46	43	68	102	58	41	128	33	105	97	124	44	73	32	64
IPR000261	EH domain	1	3	2	4	1	3	1	0	3	0	2	0	2	0	1	4	4	2	0	2	3	1	0	2
IPR000262	FMN-dependent dehydrogenase	868	1209	4154	625	877	947	887	1327	1005	803	874	1195	1946	903	555	3859	588	2138	2047	2195	1264	965	626	1400
IPR000263	Geminivirus AR1/BR1 coat protein	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000266	Ribosomal protein S17/S11	1391	893	752	396	476	648	939	963	739	453	580	782	1017	1507	534	764	391	795	650	1108	740	966	601	776
IPR000268	DNA-directed RNA polymerase, subunit N/Rpb10	19	56	7	5	7	16	11	52	10	3	5	9	5	21	7	6	6	0	4	6	19	11	2	18
IPR000269	Copper amine oxidase	7	8	6	11	4	4	3	15	14	1	3	19	23	9	1	5	8	6	2	17	4	3	2	4
IPR000270	PB1 domain	2	7	4	5	1	4	16	12	3	5	5	7	3	1	3	8	9	18	16	12	31	11	3	44
IPR000271	Ribosomal protein L34	512	398	477	177	172	230	338	421	279	159	236	309	485	566	222	415	177	356	321	514	374	378	228	406
IPR000272	Ion-transport regulator, FXYD motif	1	2	2	2	5	2	4	2	0	0	0	0	3	3	0	0	3	1	1	0	1	7	0	2
IPR000274	Adenylate cyclase, class-I	33	64	20	110	31	62	19	64	27	27	54	26	42	38	15	18	112	128	117	35	51	23	18	51
IPR000276	G protein-coupled receptor, rhodopsin-like	13	28	13	24	11	7	19	19	4	12	6	8	38	15	48	4	25	14	18	61	7	24	53	7
IPR000277	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme	4132	6976	8378	3637	3455	5168	5269	7424	5042	3170	4679	5570	9059	4414	2617	7672	3371	9572	8691	10291	7659	5742	2828	8294
IPR000281	Helix-turn-helix protein RpiR	70	97	481	99	83	141	105	123	69	98	117	67	131	83	52	402	98	213	219	153	152	95	52	195
IPR000283	NADH:ubiquinone oxidoreductase, 75kDa subunit, conserved site	426	602	949	364	313	400	532	650	413	308	362	497	832	446	232	823	348	911	833	989	749	528	253	787
IPR000286	Histone deacetylase superfamily	41	41	68	47	39	37	47	66	41	31	34	59	113	52	26	71	38	101	85	124	68	41	33	98
IPR000289	Ribosomal protein S28e	5	4	12	3	2	9	9	9	6	11	12	8	3	15	2	6	9	4	6	10	20	10	2	22
IPR000290	Colicin immunity protein/pyocin immunity protein	4	0	1	26	14	0	1	3	0	8	4	1	2	3	2	2	21	0	1	5	2	2	1	0
IPR000291	D-alanine--D-alanine ligase/VANA/B/C, conserved site	503	508	548	248	256	321	390	492	363	216	252	395	589	600	217	489	233	521	448	731	385	462	250	466
IPR000292	Formate/nitrite transporter	133	194	1278	190	209	180	192	220	130	235	157	147	326	156	96	1158	154	371	322	420	225	247	126	256
IPR000293	Channel forming colicin, C-terminal cytotoxic	0	2	1	2	0	0	3	3	2	1	0	1	3	2	3	0	3	1	0	2	0	1	3	0
IPR000294	Gamma-carboxyglutamic acid-rich (GLA) domain	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1
IPR000296	Cation-dependent mannose-6-phosphate receptor	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type	637	847	1765	495	529	707	652	902	554	447	666	639	1194	697	340	1713	450	1647	1548	1366	874	692	367	928
IPR000298	Cytochrome c oxidase-like subunit III	313	471	261	275	228	490	395	483	362	192	433	400	1028	337	199	251	262	578	516	1172	555	471	246	572
IPR000301	Tetraspanin	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	3
IPR000304	Pyrroline-5-carboxylate reductase	59	96	175	45	51	56	74	104	69	51	40	82	68	62	43	149	44	215	170	113	99	68	25	129
IPR000305	GIY-YIG nuclease superfamily	3918	3318	2617	3140	2786	3269	2934	3537	2719	2617	2923	3050	2415	4257	3023	2427	2983	2268	2118	2789	2797	3289	3224	3048
IPR000306	FYVE zinc finger	1	7	5	2	1	5	1	2	1	1	0	1	5	2	3	2	0	2	5	6	8	7	3	6
IPR000307	Ribosomal protein S16	1016	742	638	362	319	457	646	793	539	305	439	598	769	1125	434	516	336	635	593	870	530	725	461	572
IPR000308	14-3-3 protein	5	18	54	16	8	28	52	25	9	6	21	11	32	9	11	45	19	20	11	39	44	63	5	51
IPR000310	Orn/Lys/Arg decarboxylase, major domain	654	1056	2658	749	684	744	959	1110	891	648	694	977	1544	700	358	2505	704	1742	1681	1702	1131	1088	386	1260
IPR000312	Glycosyl transferase, family 3	1674	2395	4151	1409	1257	1840	1867	2602	1717	1159	1599	1884	3401	1798	923	3879	1336	3867	3526	3841	2869	2073	1065	3102
IPR000313	PWWP domain	0	23	4	1	1	2	7	13	7	1	2	3	7	3	1	5	4	9	1	10	11	8	4	17
IPR000314	Gastrin receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IPR000315	B-box-type zinc finger	18	25	24	37	10	14	62	29	12	21	13	20	36	9	19	25	16	35	20	59	79	50	19	115
IPR000318	Nitrogenase component 1, conserved site	52	107	56	166	77	167	101	121	56	60	125	67	159	55	50	46	176	894	855	169	77	119	52	69
IPR000319	Aspartate-semialdehyde dehydrogenase, conserved site	92	142	284	113	92	74	120	136	109	85	81	122	177	113	61	269	78	176	158	243	154	147	86	183
IPR000320	Hedgehog, N-terminal signalling domain	0	20	1	0	1	1	0	24	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0
IPR000322	Glycoside hydrolase family 31	478	700	278	525	313	683	579	759	483	258	645	499	708	511	311	270	523	1002	879	812	903	673	372	1014
IPR000323	Copper type II, ascorbate-dependent monooxygenase, N-terminal	80	123	39	50	55	71	95	163	98	55	92	113	291	121	46	44	41	12	7	354	118	110	57	111
IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase	1649	1809	2265	803	892	1299	1748	2000	1262	871	1179	1442	2233	1794	800	2100	753	1063	871	2548	1313	1919	956	1471
IPR000327	POU-specific domain	5	3	1	2	8	2	7	3	1	12	4	6	2	4	23	0	1	6	8	2	3	5	19	1
IPR000328	Retroviral envelope protein GP41-like	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0
IPR000330	SNF2-related, N-terminal domain	1025	1691	1941	1373	1162	1116	1328	1833	1286	1066	990	1409	1775	1225	785	1755	1130	1255	1119	1983	1827	1501	893	2054
IPR000331	Rap GTPase activating protein domain	4	9	11	7	4	10	4	19	3	8	10	2	20	5	6	6	5	10	12	14	9	6	3	4
IPR000333	Ser/Thr protein kinase, TGFB receptor	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000334	Glycoside hydrolase, family 45	1	14	4	4	1	1	1	11	4	4	0	5	8	2	2	2	4	1	1	7	4	3	1	4
IPR000335	Bleomycin resistance protein	2	4	0	3	1	3	2	14	3	1	1	3	1	1	0	0	1	0	0	5	10	6	2	19
