GO	description	category	ERR2985255	ERR2985256	ERR2985257	ERR2985258	ERR2985259	ERR2985260	ERR2985261	ERR2985262	ERR2985263	ERR2985264	ERR2985265	ERR2985266	ERR2985267	ERR2985268	ERR2985269	ERR2985270	ERR2985271	ERR2985272	ERR2985273	ERR2985274	ERR2985275	ERR2985276	ERR2985277	ERR2985278
GO:0000160	phosphorelay signal transduction system	biological process	26570	32924	44078	18559	19406	27618	27058	35268	26383	17727	24318	29140	63544	29017	15000	40521	17104	58309	53105	72206	34586	29804	16508	38406
GO:0000166	nucleotide binding	molecular function	90831	70857	67920	34345	33715	45542	61873	75560	53422	31128	41428	58660	78976	97195	37041	62798	31765	65738	60869	88886	53068	67722	40581	57716
GO:0000172	ribonuclease MRP complex	cellular component	5	9	2	2	2	9	4	3	3	2	9	4	3	1	1	0	4	4	1	3	8	6	1	6
GO:0000175	3'-5'-exoribonuclease activity	molecular function	547	704	773	359	332	461	526	756	459	326	409	499	810	666	269	695	337	881	822	870	613	577	326	671
GO:0000176	nuclear exosome (RNase complex)	cellular component	1	3	2	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0
GO:0000178	exosome (RNase complex)	cellular component	0	0	1	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	2	0	1	1	1	2
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular function	343	255	235	109	131	172	212	281	184	120	145	207	257	388	143	176	105	206	191	330	177	218	153	232
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological process	3	2	3	3	4	2	2	6	3	7	1	4	1	2	5	3	4	1	1	3	4	6	6	5
GO:0000186	activation of MAPKK activity	biological process	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	3	1	0	0	5
GO:0000213	tRNA-intron endonuclease activity	molecular function	11	5	7	5	1	14	4	4	7	4	11	8	5	16	3	5	4	1	2	9	8	4	2	13
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular component	0	6	6	1	1	4	6	13	0	0	1	0	5	0	3	1	6	5	2	2	8	7	0	5
GO:0000226	microtubule cytoskeleton organization	biological process	7	12	5	10	5	1	12	9	6	2	0	11	16	3	4	4	11	5	13	13	42	24	6	40
GO:0000228	nuclear chromosome	cellular component	11	3	10	3	1	3	9	8	2	1	5	8	8	12	3	6	5	8	11	11	13	6	15	10
GO:0000245	spliceosomal complex assembly	biological process	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000256	allantoin catabolic process	biological process	99	146	127	48	70	176	136	153	91	71	157	96	858	99	98	93	42	146	129	971	208	156	116	242
GO:0000262	mitochondrial chromosome	cellular component	0	9	7	0	2	7	4	9	1	2	8	0	4	0	15	10	0	0	0	5	0	4	11	1
GO:0000266	mitochondrial fission	biological process	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
GO:0000270	peptidoglycan metabolic process	biological process	164	199	239	140	116	144	119	187	140	122	107	120	264	170	104	201	119	566	386	330	194	139	124	189
GO:0000271	polysaccharide biosynthetic process	biological process	490	385	352	221	166	398	429	456	320	146	337	345	480	518	257	305	194	430	383	588	357	516	287	420
GO:0000272	polysaccharide catabolic process	biological process	166	109	58	53	56	69	102	123	105	58	80	103	170	221	78	53	42	79	69	229	64	104	73	64
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	cellular component	2	1	5	0	3	1	1	1	9	5	3	6	1	2	0	6	3	0	0	5	4	5	1	1
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	cellular component	1	6	4	3	2	1	8	4	0	2	6	4	3	1	1	9	1	3	2	7	5	0	1	1
GO:0000278	mitotic cell cycle	biological process	0	2	3	0	2	0	4	4	0	0	0	0	4	0	2	4	0	0	3	1	3	4	1	2
GO:0000281	mitotic cytokinesis	biological process	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
GO:0000287	magnesium ion binding	molecular function	15488	14276	17305	14256	11404	11808	13074	15090	12218	10520	10562	13389	15448	16717	11843	16009	12776	14773	13249	17501	12052	14330	12815	13288
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	biological process	0	0	3	4	0	0	0	2	2	2	2	3	1	0	0	1	2	0	1	7	3	1	1	2
GO:0000323	lytic vacuole	cellular component	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	molecular function	80	232	63	47	53	159	75	222	85	49	131	87	179	79	45	61	40	38	46	200	103	78	40	119
GO:0000340	RNA 7-methylguanosine cap binding	molecular function	3	1	0	0	2	1	1	0	0	0	1	0	1	1	1	1	0	0	2	1	6	3	1	5
GO:0000350	generation of catalytic spliceosome for second transesterification step	biological process	1	5	5	3	0	3	7	3	2	0	2	3	3	1	3	5	5	8	5	2	22	11	3	28
GO:0000387	spliceosomal snRNP assembly	biological process	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
GO:0000398	mRNA splicing, via spliceosome	biological process	9	49	45	44	25	30	53	45	21	21	25	22	59	11	14	45	28	46	37	67	106	81	22	140
GO:0000400	four-way junction DNA binding	molecular function	1	0	2	0	0	0	2	0	0	0	1	0	0	3	1	3	0	0	0	0	6	2	0	11
GO:0000413	protein peptidyl-prolyl isomerization	biological process	2647	2651	2915	1344	1187	1574	1933	2804	1913	1090	1397	2187	3278	2821	1110	2716	1229	2362	2182	3659	2306	2023	1278	2493
GO:0000439	core TFIIH complex	cellular component	11	15	8	2	9	16	9	14	4	3	7	5	9	9	5	6	7	32	26	15	17	7	5	11
GO:0000445	THO complex part of transcription export complex	cellular component	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological process	0	0	1	0	0	0	2	2	0	0	4	0	1	0	0	0	1	5	3	4	1	1	0	4
GO:0000469	cleavage involved in rRNA processing	biological process	1	0	0	0	1	1	0	2	3	1	0	0	2	0	0	0	1	0	1	1	0	0	0	0
GO:0000502	proteasome complex	cellular component	0	0	1	3	1	2	0	0	1	1	3	2	3	1	2	1	0	2	4	1	3	3	1	5
GO:0000723	telomere maintenance	biological process	1259	553	177	209	405	359	678	582	407	373	348	457	391	1406	462	176	189	144	152	499	220	746	509	252
GO:0000724	double-strand break repair via homologous recombination	biological process	0	2	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	3
GO:0000737	DNA catabolic process, endonucleolytic	biological process	9	9	1	1	0	0	5	4	5	4	1	6	22	9	9	1	0	2	5	10	3	7	9	4
GO:0000746	conjugation	biological process	259	574	3094	500	733	521	431	606	288	664	419	298	860	261	216	2761	463	411	395	939	450	489	226	541
GO:0000772	mating pheromone activity	molecular function	2	5	1	2	4	1	5	2	3	2	6	1	3	1	1	3	1	1	0	1	4	2	0	3
GO:0000774	adenyl-nucleotide exchange factor activity	molecular function	1812	1344	1294	626	660	915	1162	1451	1071	556	837	1136	1454	1926	750	1165	620	1163	1050	1668	958	1324	855	1059
GO:0000775	chromosome, centromeric region	cellular component	0	1	3	1	0	0	3	2	0	0	0	0	4	0	3	2	0	0	1	2	3	4	0	2
GO:0000776	kinetochore	cellular component	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	1
GO:0000781	chromosome, telomeric region	cellular component	0	1	0	1	0	0	0	1	0	0	0	1	2	0	1	0	0	1	1	3	1	0	0	0
GO:0000784	nuclear chromosome, telomeric region	cellular component	1	1	1	0	3	3	16	3	1	0	0	0	9	1	0	2	0	0	0	5	0	22	1	0
GO:0000785	chromatin	cellular component	0	0	0	0	1	0	1	2	0	1	1	0	3	0	0	0	1	0	0	1	0	0	0	0
GO:0000786	nucleosome	cellular component	59	208	215	120	176	90	268	226	81	175	98	122	204	48	91	194	121	273	281	241	304	314	100	373
GO:0000794	condensed nuclear chromosome	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GO:0000795	synaptonemal complex	cellular component	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GO:0000796	condensin complex	cellular component	1	4	3	5	2	2	3	3	2	1	1	0	3	3	2	2	2	1	2	8	6	3	3	13
GO:0000808	origin recognition complex	cellular component	0	2	6	2	0	2	4	0	3	0	2	2	4	1	0	3	1	2	1	8	3	5	0	5
GO:0000813	ESCRT I complex	cellular component	0	0	35	0	0	0	0	0	0	0	0	0	1	0	0	40	0	1	4	4	0	0	2	0
GO:0000902	cell morphogenesis	biological process	10365	5908	4725	2450	2102	3415	5229	6292	4925	1965	3133	5371	6355	11095	3790	4474	2312	4315	4069	7064	2934	5648	4237	3076
GO:0000910	cytokinesis	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GO:0000921	septin ring assembly	biological process	5	8	3	27	2	2	5	9	2	3	7	6	4	2	10	5	24	10	17	7	8	8	12	6
GO:0000922	spindle pole	cellular component	7	12	5	9	5	1	12	9	6	2	0	11	15	3	4	4	9	5	13	13	41	24	6	40
GO:0000930	gamma-tubulin complex	cellular component	1	1	1	3	0	2	3	1	1	0	0	1	5	0	0	1	0	0	2	3	5	2	0	8
GO:0000940	condensed chromosome outer kinetochore	cellular component	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000959	mitochondrial RNA metabolic process	biological process	0	5	4	9	3	1	5	4	2	4	1	1	7	1	3	2	6	1	1	5	20	6	0	15
GO:0000975	regulatory region DNA binding	molecular function	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	molecular function	0	0	0	1	0	0	0	2	0	0	1	0	3	0	0	0	1	0	0	4	1	0	0	1
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	molecular function	2	10	7	2	5	3	6	14	0	2	0	3	2	2	2	1	3	1	2	6	1	5	3	1
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	molecular function	0	0	0	1	0	0	0	2	0	0	1	0	3	0	0	0	1	0	0	4	1	0	0	1
GO:0001000	bacterial-type RNA polymerase core enzyme binding	molecular function	82	183	18	71	41	36	109	188	92	42	39	112	51	79	28	20	61	13	9	53	194	128	28	221
GO:0001070	RNA binding transcription factor activity	molecular function	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
GO:0001104	RNA polymerase II transcription cofactor activity	molecular function	1	5	7	4	2	7	7	9	2	1	8	6	15	0	4	4	6	2	5	11	12	7	4	7
GO:0001106	RNA polymerase II transcription corepressor activity	molecular function	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GO:0001168	transcription factor activity, RNA polymerase I upstream control element sequence-specific binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
GO:0001503	ossification	biological process	0	0	10	0	0	7	1	0	0	0	5	0	1	0	0	8	0	0	0	1	6	1	0	6
GO:0001505	regulation of neurotransmitter levels	biological process	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001510	RNA methylation	biological process	22	62	27	18	22	26	18	61	13	13	30	19	24	15	17	15	25	44	50	30	33	18	12	31
GO:0001514	selenocysteine incorporation	biological process	60	46	23	45	34	69	38	63	67	35	62	67	126	58	30	14	32	52	68	169	40	45	37	47
GO:0001518	voltage-gated sodium channel complex	cellular component	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
GO:0001522	pseudouridine synthesis	biological process	3694	3761	4616	2199	1894	2332	3030	3953	2668	1747	2172	2946	5032	3895	1882	4083	1971	4643	4198	5863	3358	3224	2020	3724
GO:0001533	cornified envelope	cellular component	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0001558	regulation of cell growth	biological process	22	33	4	23	18	22	18	31	34	12	19	31	27	16	19	16	16	101	80	34	29	27	12	34
GO:0001594	trace-amine receptor activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GO:0001607	neuromedin U receptor activity	molecular function	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001609	G-protein coupled adenosine receptor activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GO:0001614	purinergic nucleotide receptor activity	molecular function	2	2	2	3	0	1	5	3	0	0	1	0	5	0	7	1	1	0	1	3	1	4	5	1
GO:0001664	G-protein coupled receptor binding	molecular function	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GO:0001671	ATPase activator activity	molecular function	11	30	76	31	12	15	21	38	16	13	13	12	12	14	4	52	19	133	129	25	40	15	8	46
GO:0001678	cellular glucose homeostasis	biological process	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	3	1	0	0	5
GO:0001682	tRNA 5'-leader removal	biological process	0	2	3	4	2	1	3	2	0	0	0	2	4	2	1	2	3	6	6	3	3	4	0	4
GO:0001696	gastric acid secretion	biological process	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001726	ruffle	cellular component	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
GO:0001733	galactosylceramide sulfotransferase activity	molecular function	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	2	0	3	0	0
GO:0001822	kidney development	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GO:0001848	complement binding	molecular function	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001882	nucleoside binding	molecular function	0	2	0	0	0	0	1	5	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
GO:0001973	adenosine receptor signaling pathway	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GO:0002098	tRNA wobble uridine modification	biological process	2	12	7	4	2	4	14	6	2	1	3	3	6	3	1	6	5	9	6	20	23	14	4	22
GO:0002100	tRNA wobble adenosine to inosine editing	biological process	319	438	322	287	202	262	333	467	299	190	281	365	490	337	181	300	252	447	360	571	382	357	220	418
GO:0002128	tRNA nucleoside ribose methylation	biological process	0	1	1	1	3	1	0	1	0	1	2	1	1	0	0	2	2	1	2	3	2	0	0	7
GO:0002143	tRNA wobble position uridine thiolation	biological process	33	32	23	24	13	28	18	33	27	16	29	41	54	51	15	18	14	207	207	57	25	28	12	25
GO:0002161	aminoacyl-tRNA editing activity	molecular function	4363	3985	4055	2071	2157	2668	3452	4189	2987	1974	2396	3206	4847	4652	1932	3675	1924	5264	4837	5485	3707	3678	2141	4021
GO:0002218	activation of innate immune response	biological process	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0002682	regulation of immune system process	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GO:0002685	regulation of leukocyte migration	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0002949	tRNA threonylcarbamoyladenosine modification	biological process	1400	1033	967	458	512	725	1050	1124	788	473	618	823	1082	1540	586	901	458	908	846	1213	657	1151	587	799
GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin	biological process	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GO:0003333	amino acid transmembrane transport	biological process	280	575	305	466	204	435	520	700	346	168	428	441	835	321	250	280	410	349	243	985	539	619	266	589
GO:0003676	nucleic acid binding	molecular function	51845	59237	73782	55592	53157	51481	52180	63852	47124	48310	46041	52590	55549	56529	44010	66706	51292	59052	53472	62813	54742	57538	49049	60123
GO:0003677	DNA binding	molecular function	192539	192406	213339	175668	158616	166712	169311	205245	156293	144223	149362	174333	189308	208259	142200	194948	161659	180047	164084	214843	175318	186189	158138	193886
GO:0003678	DNA helicase activity	molecular function	15915	12870	11927	22365	19484	12733	12786	13739	14351	17846	11634	15806	6590	17160	15507	11152	20407	6977	6621	7392	11363	14016	17269	12350
GO:0003682	chromatin binding	molecular function	0	2	2	1	0	0	1	0	1	2	2	0	5	1	0	3	1	2	1	5	0	0	0	1
GO:0003684	damaged DNA binding	molecular function	2543	2429	2372	1216	1164	1649	2048	2522	1687	1118	1443	2016	2892	2641	1096	2137	1081	2234	2079	3213	1910	2225	1245	2142
GO:0003688	DNA replication origin binding	molecular function	444	346	399	253	252	403	364	398	219	277	308	279	331	504	233	318	194	532	460	387	314	401	274	322
GO:0003689	DNA clamp loader activity	molecular function	6	3	3	4	0	1	4	6	1	6	0	2	11	3	1	2	2	3	2	7	8	2	5	13
GO:0003690	double-stranded DNA binding	molecular function	28	32	28	29	40	30	14	30	23	29	42	28	16	32	31	24	24	58	51	30	27	19	27	29
GO:0003697	single-stranded DNA binding	molecular function	13180	9757	8773	13975	12154	10182	9603	10377	10524	11032	9174	11707	7304	14149	10804	7951	13060	7191	6503	8134	7985	10597	12042	8617
GO:0003700	transcription factor activity, sequence-specific DNA binding	molecular function	26673	27601	33525	19206	18528	24758	23652	29949	20604	16999	22160	22322	37517	28354	16534	30357	17801	29026	26329	42574	26217	26110	18019	28436
GO:0003707	steroid hormone receptor activity	molecular function	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1
GO:0003708	retinoic acid receptor activity	molecular function	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
GO:0003712	transcription cofactor activity	molecular function	0	8	3	6	0	0	6	7	0	3	0	5	2	0	4	2	3	1	3	6	1	2	3	1
GO:0003713	transcription coactivator activity	molecular function	39	65	36	111	124	30	61	89	119	77	33	108	38	44	102	38	106	42	44	52	132	59	85	145
GO:0003714	transcription corepressor activity	molecular function	0	11	3	2	0	1	2	10	2	1	2	4	9	0	2	1	2	2	1	4	5	2	4	12
GO:0003721	telomerase RNA reverse transcriptase activity	molecular function	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003723	RNA binding	molecular function	38128	33249	37187	17428	17071	22367	28361	35425	24898	15679	20172	27237	38976	40789	17997	33808	16006	36656	33664	44424	27760	30889	19453	30507
GO:0003724	RNA helicase activity	molecular function	21	43	148	55	28	63	95	60	20	28	91	31	8	14	23	116	39	3	13	22	48	133	25	66
GO:0003725	double-stranded RNA binding	molecular function	1469	1780	2212	950	848	1197	1435	1948	1260	802	1074	1409	2381	1638	669	1963	875	2265	2055	2776	1522	1595	792	1707
GO:0003726	double-stranded RNA adenosine deaminase activity	molecular function	5	0	2	0	3	6	0	0	1	0	6	0	0	0	0	2	0	0	5	1	0	0	0	0
GO:0003729	mRNA binding	molecular function	136	170	312	98	158	106	151	173	127	158	91	146	215	154	96	314	107	177	150	253	275	134	100	351
GO:0003735	structural constituent of ribosome	molecular function	74393	53050	46395	24908	24409	33256	48541	56393	40324	22531	30319	43956	56096	79702	29339	43178	23089	43078	39875	62828	40348	52833	31956	43619
GO:0003743	translation initiation factor activity	molecular function	2445	1896	2186	939	1008	1304	1744	2084	1370	945	1204	1594	2125	2684	1131	2032	892	1703	1549	2246	1658	1906	1234	1755
GO:0003746	translation elongation factor activity	molecular function	4348	3430	2980	1708	1487	2104	2914	3641	2566	1407	1979	2770	3853	4712	1770	2788	1601	3113	2899	4388	2649	3133	1855	2930
GO:0003747	translation release factor activity	molecular function	4300	3108	2610	1445	1417	1860	2859	3345	2395	1268	1708	2604	3411	4640	1753	2462	1407	2455	2255	3773	2111	3065	1892	2238
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	molecular function	2647	2656	2915	1344	1187	1574	1937	2807	1913	1090	1397	2187	3278	2821	1110	2716	1229	2362	2182	3659	2306	2023	1280	2493
GO:0003756	protein disulfide isomerase activity	molecular function	1	7	2	3	4	6	9	8	2	2	1	2	5	1	1	6	6	8	9	9	40	8	1	44
GO:0003774	motor activity	molecular function	1017	1263	587	878	661	1083	1079	1360	1109	647	915	1196	2673	1057	693	595	815	1200	1105	3045	1546	1172	787	1591
GO:0003777	microtubule motor activity	molecular function	576	2460	921	890	490	837	1959	2571	696	454	778	767	1219	589	425	816	805	1130	1016	1389	2838	2130	428	3167
GO:0003779	actin binding	molecular function	93	111	127	130	97	105	119	121	96	106	92	73	131	101	100	113	97	94	93	91	120	103	96	135
GO:0003785	actin monomer binding	molecular function	0	0	3	0	1	1	0	1	0	1	1	1	0	0	0	7	0	0	0	1	2	0	0	4
GO:0003796	lysozyme activity	molecular function	4129	5799	6592	11127	17052	7184	4746	6211	8072	15962	6562	8754	1183	4392	8579	5899	10458	7616	7093	1401	6413	5239	9453	6993
GO:0003810	protein-glutamine gamma-glutamyltransferase activity	molecular function	0	0	0	2	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
GO:0003824	catalytic activity	molecular function	222044	282428	351037	148034	147915	206995	222729	301494	208915	136109	186251	231139	395898	239499	120656	322459	138063	338767	311438	447046	266983	243216	132749	292240
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	molecular function	45	37	38	41	17	44	40	36	9	21	31	18	21	45	32	36	37	7	5	13	11	50	33	4
GO:0003839	gamma-glutamylcyclotransferase activity	molecular function	80	86	873	48	120	127	84	81	53	102	131	64	212	76	53	812	40	140	121	212	173	85	53	148
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity	molecular function	154	308	1069	204	199	194	246	316	175	182	192	212	512	153	71	1006	179	356	333	592	348	253	105	425
GO:0003843	1,3-beta-D-glucan synthase activity	molecular function	1	5	1	3	2	3	3	3	1	2	0	0	8	3	4	1	0	3	1	6	3	7	3	4
GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity	molecular function	53	50	43	22	35	69	78	66	47	21	69	70	129	42	26	28	35	20	19	152	57	62	24	66
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	molecular function	622	950	1226	474	459	675	643	998	630	424	649	687	1186	661	329	1245	450	1474	1406	1310	945	677	348	999
GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	molecular function	517	844	240	379	319	560	642	934	559	298	495	604	949	552	303	230	338	279	257	1073	849	686	341	961
GO:0003852	2-isopropylmalate synthase activity	molecular function	451	664	852	376	371	434	503	696	496	312	413	563	900	493	269	770	359	1078	951	1019	652	562	256	770
