GO	description	category	ERR4702550	ERR4702560	ERR4702551	ERR4702561	ERR4702552	ERR4702562	ERR4702553	ERR4702563	ERR4702554	ERR4702564	ERR4702555	ERR4702556	ERR4702557	ERR4702558	ERR4702559	ERZ1758440	ERZ1758441	ERZ1758442	ERZ1758444	ERZ1758445	ERZ1758437	ERZ1758447	ERZ1758438	ERZ1758448	ERZ1758439	ERZ1758449
GO:0008152	metabolic process	biological process	41857	75559	37959	844	916	425	1091	41397	45248	81412	48129	860	35157	58151	72162	15681	3606	3476	15306	14003	838	15582	12779	12561	5109	14381
GO:0008218	bioluminescence	biological process	23	40	32	0	0	0	1	6	39	13	38	0	7	24	45	18	3	4	11	22	1	14	17	15	5	14
GO:0008233	peptidase activity	molecular function	9884	15734	8703	163	242	94	302	7214	11315	14104	11939	238	7187	11282	14889	3584	919	883	4072	4170	136	4253	2810	3805	1328	3572
GO:0008658	penicillin binding	molecular function	1553	2002	1472	14	10	6	16	1161	1967	2345	1971	9	840	1406	1901	337	62	67	533	607	19	616	293	593	91	392
GO:0009055	electron carrier activity	molecular function	3603	8793	3221	93	103	63	126	4354	3713	8388	3854	143	3964	5612	8727	2129	475	461	1755	1431	69	1681	1728	1296	713	1569
GO:0009058	biosynthetic process	biological process	37963	66200	35249	570	528	338	669	35491	46158	71028	46908	518	28529	45677	62237	13921	3136	3051	14280	14715	714	15109	11482	14279	4698	13928
GO:0009276	Gram-negative-bacterium-type cell wall	cellular component	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	5	2	1	3	3	4
GO:0009288	bacterial type flagellum	cellular component	545	2923	486	30	35	7	26	171	558	599	739	33	424	760	2911	779	93	108	410	422	7	372	591	328	182	450
GO:0009317	acetyl-CoA carboxylase complex	cellular component	291	673	259	9	10	2	10	410	329	733	357	2	310	521	577	131	33	39	119	108	3	119	111	95	50	125
GO:0009341	beta-galactosidase complex	cellular component	31	50	43	3	0	3	0	26	59	81	48	1	86	163	55	18	6	1	10	15	6	11	16	16	6	23
GO:0009346	citrate lyase complex	cellular component	4	2	1	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
GO:0009349	riboflavin synthase complex	cellular component	139	275	119	2	4	0	6	161	180	265	163	2	108	185	245	54	9	9	53	59	2	44	46	55	13	51
GO:0009372	quorum sensing	biological process	16	228	9	1	0	0	0	1	11	8	4	0	10	7	336	15	1	1	7	4	1	8	12	8	3	5
GO:0009403	toxin biosynthetic process	biological process	48	163	63	3	2	0	1	101	64	224	66	0	78	151	162	42	8	8	29	26	3	30	36	29	13	45
GO:0009405	pathogenesis	biological process	48	74	47	2	1	1	0	85	64	179	45	2	252	413	68	48	21	24	25	28	3	30	41	20	26	40
GO:0009579	thylakoid	cellular component	3	2	11	0	0	0	0	13	8	33	9	0	10	22	2	1	2	0	4	6	0	4	3	8	2	2
GO:0009607	response to biotic stimulus	biological process	112	203	75	0	0	2	4	76	83	160	95	1	118	120	270	45	15	13	38	23	4	33	37	24	17	47
GO:0009628	response to abiotic stimulus	biological process	5	20	5	0	0	0	0	3	11	16	9	0	14	22	18	47	15	15	27	32	3	31	36	25	23	44
GO:0015948	methanogenesis	biological process	54	124	55	2	3	0	2	15	64	24	63	5	100	196	96	12	5	3	13	14	0	12	8	14	6	39
GO:0015979	photosynthesis	biological process	78	459	111	1	6	1	3	55	68	140	66	2	416	360	329	141	69	52	61	26	0	58	101	45	84	110
GO:0016020	membrane	cellular component	19758	42936	17446	540	325	197	444	20846	21958	40856	23244	414	20017	32865	42331	9153	2257	1754	8167	7644	750	8303	7452	7185	3288	7871
GO:0016032	viral process	biological process	279	759	242	53	2	16	14	626	277	1190	326	4	415	782	746	119	34	20	102	84	18	101	94	100	40	70
GO:0016070	RNA metabolic process	biological process	17975	23266	16526	203	147	104	198	13168	23378	26720	22404	173	9159	14951	22057	4391	874	881	6101	6573	206	6711	3691	6704	1308	5232
GO:0016209	antioxidant activity	molecular function	1192	2535	1112	42	53	29	51	1032	1341	1933	1470	44	638	1142	2363	688	133	148	621	583	43	637	535	537	189	546
GO:0016226	iron-sulfur cluster assembly	biological process	582	965	534	12	30	5	49	424	714	789	683	30	510	723	982	212	48	55	220	202	15	229	171	211	63	237
GO:0016301	kinase activity	molecular function	7023	10959	6119	99	79	58	138	5796	7974	11106	8409	113	5175	8183	10674	3045	996	687	2953	2778	162	2963	2648	2629	1336	2921
GO:0016310	phosphorylation	biological process	7738	10895	6627	79	100	54	137	5309	8676	10438	9212	118	5596	8459	10863	2870	942	629	2844	2761	111	2862	2468	2551	1250	2836
GO:0016469	proton-transporting two-sector ATPase complex	cellular component	1004	1560	898	9	12	12	29	785	1294	1654	1232	23	585	877	1459	400	94	99	525	564	15	581	355	555	129	476
GO:0016491	oxidoreductase activity	molecular function	35643	62461	32189	748	768	363	943	36309	37898	71053	40590	726	30796	51105	59464	13745	3194	3115	13368	11895	701	13539	11152	10496	4540	12595
GO:0016597	amino acid binding	molecular function	672	1027	600	13	12	5	9	634	801	1361	813	13	446	742	987	113	28	28	154	166	7	158	89	174	32	156
GO:0016740	transferase activity	molecular function	31126	51085	28411	531	371	244	511	27831	36671	56859	37321	402	22669	37029	49038	12269	2799	2541	12028	12074	680	12822	10013	11792	4197	11831
GO:0016779	nucleotidyltransferase activity	molecular function	9088	12460	8293	159	176	86	255	6160	11682	12681	11094	161	4584	7454	11889	2182	404	428	3068	3225	117	3361	1834	3353	598	2460
GO:0016787	hydrolase activity	molecular function	21638	31525	20369	317	233	169	341	16066	25989	32097	25992	247	13484	22049	31073	8379	1939	1756	9544	9317	522	10347	7010	8773	2810	8286
GO:0016791	phosphatase activity	molecular function	523	1073	493	11	10	7	15	1094	662	2244	664	10	719	1223	941	385	90	75	303	321	28	327	300	301	151	326
GO:0016829	lyase activity	molecular function	8522	14857	7833	160	130	70	156	8459	9666	16541	9833	148	6470	10767	15014	3107	699	691	3202	2971	199	3211	2653	2776	1085	3073
GO:0016853	isomerase activity	molecular function	10017	14907	9119	147	111	98	174	8398	12415	16790	12295	131	5984	10094	14306	2710	565	574	3072	3287	169	3364	2227	3266	822	2875
GO:0016874	ligase activity	molecular function	20526	26357	19079	184	198	118	241	15199	26657	30566	25530	232	11096	17705	24788	4247	856	848	6218	6541	164	6770	3545	6747	1194	5229
GO:0017000	antibiotic biosynthetic process	biological process	249	577	199	6	3	6	3	123	221	213	244	2	202	291	567	87	15	22	53	34	6	62	67	40	23	53
GO:0017004	cytochrome complex assembly	biological process	541	1606	476	6	11	4	24	429	602	805	625	13	617	897	1535	358	58	54	278	246	16	272	323	251	102	283
GO:0017111	nucleoside-triphosphatase activity	molecular function	15817	24367	14193	254	241	139	363	12861	18682	26169	19237	322	10345	16981	23844	5572	1314	1049	6163	6147	342	6608	4652	5735	1980	5349
GO:0019008	molybdopterin synthase complex	cellular component	56	143	65	1	3	0	5	113	77	219	76	6	98	175	133	28	10	8	31	32	2	29	30	21	19	34
GO:0019012	virion	cellular component	2	3	3	2	3	1	14	0	6	0	2	13	3	1	8	6	0	0	1	3	3	1	6	1	1	1
GO:0019222	regulation of metabolic process	biological process	10182	18932	8875	280	300	126	426	8616	11258	17201	11522	224	7945	12527	18166	5930	1330	1261	4962	4616	560	5201	4782	4425	2191	5219
GO:0019842	vitamin binding	molecular function	2593	2961	2341	33	45	21	52	2187	2864	4104	3018	44	1892	3023	2862	563	124	134	864	749	35	896	501	736	194	590
GO:0019867	outer membrane	cellular component	1237	3471	1105	38	24	21	41	1578	1419	3334	1516	20	1409	2307	3377	879	148	176	568	567	71	584	708	540	271	659
GO:0019898	extrinsic component of membrane	cellular component	0	0	2	0	0	0	0	0	2	0	0	0	2	1	0	1	2	0	1	4	0	2	1	3	1	1
GO:0030170	pyridoxal phosphate binding	molecular function	3669	6420	3153	77	63	35	63	4017	3971	8138	4220	48	3724	5952	6024	1218	321	261	1123	1063	84	1185	974	1002	439	1140
GO:0030246	carbohydrate binding	molecular function	393	997	352	15	10	9	11	171	382	387	459	9	487	719	1044	133	42	35	193	142	32	171	103	123	78	170
GO:0031224	intrinsic to membrane	cellular component	13374	23448	11744	334	174	141	270	12202	14819	23850	15617	218	10754	17580	23440	7753	1896	1603	7048	6538	668	7034	6450	6081	2807	6716
GO:0033202	DNA helicase complex	cellular component	91	96	82	0	0	0	0	72	125	97	110	1	27	45	107	39	9	8	64	73	2	84	37	72	15	46
GO:0042221	response to chemical	biological process	923	4117	782	28	27	13	26	1137	1041	2363	1152	28	1168	1943	3979	1068	195	160	483	509	43	493	874	464	371	627
GO:0042575	DNA polymerase complex	cellular component	743	1035	650	7	11	5	9	480	944	994	893	4	339	621	960	196	32	33	313	352	9	346	163	337	52	226
GO:0042597	periplasmic space	cellular component	392	1359	352	20	20	10	11	368	435	816	482	20	740	1100	1344	424	85	62	282	243	52	233	348	207	178	290
GO:0043167	ion binding	molecular function	27	115	31	0	0	1	1	12	36	22	49	1	26	29	116	51	10	9	41	41	5	48	46	29	28	44
GO:0043190	ATP-binding cassette (ABC) transporter complex	cellular component	765	1348	644	23	7	6	15	1040	888	1977	945	8	503	1010	1312	523	130	98	477	420	48	474	449	395	235	436
GO:0043934	sporulation	biological process	61	16	81	0	0	1	1	9	107	24	127	0	6	20	12	10	8	6	42	54	0	45	7	60	11	36
GO:0044281	small molecule metabolic process	biological process	38822	63232	35832	559	509	321	693	37055	47533	74597	47672	622	29584	47879	60259	13251	3072	2923	13982	14400	746	14734	11048	13950	4589	13854
GO:0045454	cell redox homeostasis	biological process	747	1995	682	12	35	15	41	998	837	1943	844	41	903	1315	1946	566	130	108	404	428	20	425	422	357	191	487
GO:0046718	viral entry into host cell	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0046872	metal ion binding	molecular function	11520	22517	10261	231	300	116	391	9245	12618	18068	13260	327	9512	14023	23580	5699	1443	1280	5387	5028	283	5484	4592	4637	1908	5159
GO:0046906	tetrapyrrole binding	molecular function	4107	10032	3652	105	142	65	170	5243	4216	10049	4628	176	4595	6925	9826	2026	441	444	1698	1391	62	1586	1639	1305	627	1480
GO:0048500	signal recognition particle	cellular component	115	249	118	0	3	3	3	159	116	275	139	3	102	167	268	43	12	12	40	30	2	45	38	42	19	30
GO:0050662	coenzyme binding	molecular function	12453	19763	11601	190	201	93	231	10908	14157	21496	14540	176	9165	15333	18989	4034	957	887	4288	4027	211	4637	3423	3648	1407	3810
GO:0051536	iron-sulfur cluster binding	molecular function	4303	7566	3835	56	124	35	161	3958	5098	7785	5238	122	3643	5557	7151	2296	501	555	2173	2034	108	2166	1862	2079	730	2285
GO:0065003	macromolecular complex assembly	biological process	184	525	139	9	7	2	6	293	196	578	202	12	279	436	542	165	40	31	59	70	10	66	123	67	59	99
GO:0071103	DNA conformation change	biological process	3890	4819	3589	31	27	29	60	2639	4974	5168	4891	32	2000	3206	4566	665	118	120	960	1037	22	1117	565	1081	165	744
GO:0071840	cellular component organization or biogenesis	biological process	4739	8068	4307	82	66	37	90	4357	5794	8877	5968	93	3202	4881	7914	1911	377	381	2022	2087	115	2096	1568	2106	603	1818
GO:0071973	bacterial-type flagellar cell motility	biological process	750	3572	665	50	69	22	98	253	777	795	999	141	699	1028	3250	884	101	126	468	507	7	448	719	389	201	555
GO:0090484	drug transporter activity	molecular function	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0098796	membrane protein complex	cellular component	113	221	98	5	5	4	7	99	104	211	121	9	186	275	300	143	42	18	158	75	2	94	134	59	44	73
GO:1902494	catalytic complex	cellular component	116	272	124	3	5	2	2	141	159	268	152	5	151	201	288	244	74	64	193	217	13	195	214	173	103	225
GO:1990204	oxidoreductase complex	cellular component	304	758	299	10	5	5	2	396	359	771	409	2	252	443	740	303	73	64	224	228	20	222	240	232	107	239
