GO	description	category	ERR4702550	ERR4702560	ERR4702551	ERR4702561	ERR4702552	ERR4702562	ERR4702553	ERR4702563	ERR4702554	ERR4702564	ERR4702555	ERR4702556	ERR4702557	ERR4702558	ERR4702559	ERZ1758440	ERZ1758441	ERZ1758442	ERZ1758444	ERZ1758445	ERZ1758437	ERZ1758447	ERZ1758438	ERZ1758448	ERZ1758439	ERZ1758449
GO:0000178	exosome (RNase complex)	cellular component	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000179	rRNA (adenine-N6@N6-)-dimethyltransferase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	5	6	57	57	2	51	28	66	12	36
GO:0000184	nuclear-transcribed mRNA catabolic process@ nonsense-mediated decay	biological process	0	1	0	0	0	0	0	0	0	1	2	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000209	protein polyubiquitination	biological process	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000213	tRNA-intron endonuclease activity	molecular function	22	0	20	0	0	0	0	2	48	1	38	0	0	0	0	0	0	0	2	3	0	4	0	6	0	6
GO:0000221	vacuolar proton-transporting V-type ATPase@ V1 domain	cellular component	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0000226	microtubule cytoskeleton organization	biological process	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0000228	nuclear chromosome	cellular component	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000250	lanosterol synthase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	4	4	2	0	5	9	2	6	7
GO:0000256	allantoin catabolic process	biological process	21	34	31	1	0	0	1	8	20	20	37	0	13	22	33	6	5	2	11	7	0	12	6	12	6	5
GO:0000262	mitochondrial chromosome	cellular component	16	0	11	0	0	0	0	0	16	0	13	0	0	0	0	0	0	0	3	4	0	4	0	6	0	0
GO:0000270	peptidoglycan metabolic process	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	2	9	12	0	11	14	9	1	4
GO:0000271	polysaccharide biosynthetic process	biological process	135	183	136	0	0	0	0	202	178	353	147	2	227	380	144	101	29	23	91	113	4	128	85	105	35	112
GO:0000272	polysaccharide catabolic process	biological process	304	69	293	0	3	0	4	36	339	76	405	4	14	12	84	51	4	2	220	203	0	224	42	143	7	59
GO:0000275	mitochondrial proton-transporting ATP synthase complex@ catalytic core F(1)	cellular component	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000276	mitochondrial proton-transporting ATP synthase complex@ coupling factor F(o)	cellular component	1	4	0	0	0	0	0	1	2	5	0	0	2	6	2	1	0	0	0	0	0	0	1	0	0	1
GO:0000278	mitotic cell cycle	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000281	mitotic cytokinesis	biological process	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000286	alanine dehydrogenase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	3	5	7	6	0	6	9	4	4	11
GO:0000287	magnesium ion binding	molecular function	1791	3204	1693	26	25	21	23	1484	2172	3020	2336	29	1126	1944	3254	849	173	183	901	986	45	997	715	882	271	845
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	biological process	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000302	response to reactive oxygen species	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	2	1
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
GO:0000334	3-hydroxyanthranilate 3@4-dioxygenase activity	molecular function	32	17	31	0	0	0	0	13	22	16	29	0	12	17	12	6	2	1	15	11	1	14	3	7	2	11
GO:0000340	RNA 7-methylguanosine cap binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0000350	generation of catalytic spliceosome for second transesterification step	biological process	0	0	2	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
GO:0000398	mRNA splicing@ via spliceosome	biological process	2	8	0	0	1	0	1	7	0	6	5	0	17	13	4	1	3	0	0	0	0	0	0	0	1	1
GO:0000400	four-way junction DNA binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
GO:0000413	protein peptidyl-prolyl isomerization	biological process	405	792	367	4	6	4	8	350	459	621	479	11	287	475	733	135	38	36	136	137	2	140	110	124	51	136
GO:0000439	core TFIIH complex	cellular component	0	2	0	0	0	0	2	0	0	2	0	0	2	5	3	0	0	0	0	0	0	0	0	0	0	0
GO:0000445	THO complex part of transcription export complex	cellular component	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA@ 5.8S rRNA@ LSU-rRNA)	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0000469	cleavage involved in rRNA processing	biological process	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000502	proteasome complex	cellular component	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	1	1	0	1	3	2	0	1
GO:0000723	telomere maintenance	biological process	112	49	110	0	0	0	1	23	193	45	153	0	34	23	54	25	12	3	43	59	0	59	25	74	11	39
GO:0000724	double-strand break repair via homologous recombination	biological process	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000736	double-strand break repair via single-strand annealing@ removal of nonhomologous ends	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GO:0000746	conjugation	biological process	26	159	22	3	1	0	2	85	26	121	41	0	70	145	119	106	18	19	35	28	8	31	82	36	24	60
GO:0000774	adenyl-nucleotide exchange factor activity	molecular function	296	316	274	3	10	2	8	172	386	353	363	4	122	188	307	58	14	17	118	119	2	129	45	122	17	107
GO:0000775	chromosome@ centromeric region	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
GO:0000776	kinetochore	cellular component	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000784	nuclear chromosome@ telomeric region	cellular component	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000785	chromatin	cellular component	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000786	nucleosome	cellular component	6	36	7	5	11	2	4	45	7	87	12	16	42	58	25	29	13	8	5	3	1	3	22	6	10	15
GO:0000796	condensin complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000808	origin recognition complex	cellular component	0	1	0	0	0	0	0	1	0	1	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0
GO:0000813	ESCRT I complex	cellular component	0	2	0	0	0	0	1	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000814	ESCRT II complex	cellular component	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000902	cell morphogenesis	biological process	949	855	927	9	13	5	13	469	1243	846	1294	20	266	380	815	138	25	28	287	292	3	303	112	316	36	183
GO:0000906	6@7-dimethyl-8-ribityllumazine synthase activity	molecular function	43	47	27	0	0	0	0	30	50	54	39	0	4	12	49	37	8	9	41	41	2	29	34	40	12	34
GO:0000959	mitochondrial RNA metabolic process	biological process	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	molecular function	0	0	1	0	0	0	0	1	3	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	2
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	molecular function	0	0	0	0	0	0	0	0	0	2	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0
GO:0000981	RNA polymerase II transcription factor activity@ sequence-specific DNA binding	molecular function	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0001000	bacterial-type RNA polymerase core enzyme binding	molecular function	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GO:0001216	bacterial-type RNA polymerase transcriptional activator activity@ sequence-specific DNA binding	molecular function	81	210	79	0	1	0	4	132	71	274	87	1	116	203	246	69	13	15	62	76	1	72	56	59	17	62
GO:0001401	mitochondrial sorting and assembly machinery complex	cellular component	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001510	RNA methylation	biological process	8	7	4	1	0	0	3	1	7	5	12	0	3	4	5	13	3	2	6	4	1	5	13	3	5	4
GO:0001514	selenocysteine incorporation	biological process	25	7	21	0	1	0	0	9	21	14	24	0	7	11	25	9	5	7	26	11	2	31	13	12	11	13
GO:0001522	pseudouridine synthesis	biological process	678	1165	625	12	5	5	8	722	833	1430	839	6	355	664	1176	358	75	76	306	344	19	336	293	332	119	342
GO:0001530	lipopolysaccharide binding	molecular function	6	34	2	0	0	0	0	6	4	8	6	0	0	1	48	10	1	3	7	8	1	8	11	5	6	7
GO:0001534	radial spoke	cellular component	0	0	0	0	0	0	0	0	0	1	4	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001558	regulation of cell growth	biological process	15	10	9	0	0	0	0	9	12	10	15	1	3	2	17	9	3	6	15	5	0	9	10	11	4	16
GO:0001664	G-protein coupled receptor binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0001671	ATPase activator activity	molecular function	11	24	4	1	0	0	0	36	10	89	8	0	16	19	17	20	1	3	9	10	1	11	17	14	6	5
GO:0001680	tRNA 3'-terminal CCA addition	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GO:0001726	ruffle	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001727	lipid kinase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
GO:0001733	galactosylceramide sulfotransferase activity	molecular function	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	1	0	1
GO:0001822	kidney development	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GO:0001882	nucleoside binding	molecular function	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0002094	polyprenyltransferase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GO:0002098	tRNA wobble uridine modification	biological process	0	1	3	0	1	0	0	0	1	1	5	0	2	5	1	24	6	8	17	13	3	17	24	14	12	28
GO:0002100	tRNA wobble adenosine to inosine editing	biological process	58	93	87	0	0	0	2	51	89	109	93	1	35	69	118	33	7	9	27	34	1	27	33	35	13	39
GO:0002128	tRNA nucleoside ribose methylation	biological process	7	0	5	0	0	0	0	0	10	1	9	0	0	0	0	0	0	0	0	3	0	0	0	2	0	2
GO:0002143	tRNA wobble position uridine thiolation	biological process	5	0	2	1	0	0	0	0	9	3	7	0	0	1	0	0	0	0	4	6	1	2	0	6	1	2
GO:0002161	aminoacyl-tRNA editing activity	molecular function	1510	1633	1524	13	7	7	15	1001	2070	1927	1966	16	598	1035	1631	257	56	67	449	493	15	559	247	498	79	373
GO:0002943	tRNA dihydrouridine synthesis	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	1	1	1	0	0	8	0	7	7
GO:0002949	tRNA threonylcarbamoyladenosine modification	biological process	229	325	218	0	4	3	0	177	300	379	305	3	97	196	272	109	22	24	138	158	5	155	98	140	39	139
GO:0003333	amino acid transmembrane transport	biological process	40	19	46	2	0	0	0	11	43	23	57	0	0	1	13	3	0	1	11	14	7	13	3	16	0	15
GO:0003352	regulation of cilium movement	biological process	0	1	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003676	nucleic acid binding	molecular function	6949	12701	6615	94	128	50	222	5213	8667	10522	8585	169	5016	7658	12463	3071	863	642	3832	3933	107	4209	2501	4133	1080	3161
GO:0003677	DNA binding	molecular function	26240	44470	24202	311	367	188	528	17676	32631	35953	31356	357	14120	23392	44427	9136	1956	1843	10381	10178	428	11376	7595	10675	2728	9326
GO:0003678	DNA helicase activity	molecular function	1333	1249	1282	10	10	10	8	518	1687	1029	1828	13	383	569	1151	309	61	55	464	511	14	539	247	518	82	318
GO:0003682	chromatin binding	molecular function	0	1	0	0	0	0	0	1	0	1	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0
GO:0003684	damaged DNA binding	molecular function	293	506	298	2	0	1	3	282	410	578	406	1	187	337	534	179	41	39	164	170	8	182	156	176	67	163
GO:0003688	DNA replication origin binding	molecular function	3	3	1	0	0	0	0	0	0	2	8	0	0	1	6	41	9	9	71	82	2	88	39	61	16	57
GO:0003689	DNA clamp loader activity	molecular function	0	3	1	0	0	0	0	0	2	1	0	0	2	1	1	2	0	0	0	0	0	0	1	0	0	0
GO:0003690	double-stranded DNA binding	molecular function	8	3	9	0	0	0	0	20	12	12	9	0	8	6	1	9	3	5	8	8	1	7	5	10	6	7
GO:0003697	single-stranded DNA binding	molecular function	1053	1609	1007	12	17	8	22	552	1283	1169	1286	8	437	745	1482	270	50	58	355	383	15	404	237	399	75	298
GO:0003700	transcription factor activity@ sequence-specific DNA binding	molecular function	4093	7155	3640	131	192	71	262	3252	4488	6481	4657	119	3402	5360	6792	2461	590	544	1961	1814	309	2085	1914	1646	1006	2163
GO:0003707	steroid hormone receptor activity	molecular function	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003712	transcription cofactor activity	molecular function	1	1	0	0	0	0	0	2	2	2	1	0	12	10	0	0	5	0	0	0	0	0	0	0	2	0
GO:0003713	transcription coactivator activity	molecular function	0	0	0	0	0	0	2	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
GO:0003714	transcription corepressor activity	molecular function	1	0	0	0	0	0	0	0	0	2	1	0	3	5	0	0	1	0	0	0	0	0	0	0	0	0
GO:0003723	RNA binding	molecular function	5627	8843	5098	92	107	63	149	5116	7029	10532	7012	103	3135	5321	8678	2312	456	504	2854	3116	116	3034	1934	2943	696	2542
GO:0003724	RNA helicase activity	molecular function	2	1	2	1	1	0	0	1	7	1	10	1	0	1	2	9	2	2	4	1	1	2	8	2	7	4
GO:0003725	double-stranded RNA binding	molecular function	314	511	271	3	3	2	2	265	396	550	366	1	260	355	463	83	23	21	96	101	5	101	65	118	24	95
GO:0003729	mRNA binding	molecular function	176	192	127	0	6	0	1	34	207	85	170	4	42	31	206	73	14	19	96	78	0	113	56	108	15	137
GO:0003735	structural constituent of ribosome	molecular function	9417	10682	8657	157	327	185	547	6291	12587	14446	11475	518	4387	7104	10412	2907	581	621	4763	5048	115	5135	2433	5067	811	3881
GO:0003743	translation initiation factor activity	molecular function	415	472	362	6	17	5	14	190	525	518	477	13	211	308	440	183	36	38	263	285	6	270	144	275	51	208
GO:0003746	translation elongation factor activity	molecular function	418	589	392	4	9	6	13	334	532	715	484	14	295	421	628	195	45	49	288	292	9	296	170	264	64	248
GO:0003747	translation release factor activity	molecular function	525	740	485	3	3	6	9	352	649	709	713	3	255	432	659	149	30	43	239	260	6	270	129	235	42	196
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	molecular function	903	1683	725	17	14	8	18	763	961	1460	985	21	584	964	1625	371	83	85	352	394	20	353	303	355	131	340
GO:0003756	protein disulfide isomerase activity	molecular function	0	1	0	0	0	1	0	0	0	3	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003774	motor activity	molecular function	265	1278	242	14	12	1	17	89	287	313	370	12	310	507	1232	320	52	44	159	169	1	142	250	138	81	195
GO:0003777	microtubule motor activity	molecular function	39	44	17	0	0	4	3	33	28	42	48	6	95	84	39	26	27	6	23	10	0	12	14	10	31	27
GO:0003779	actin binding	molecular function	4	5	3	6	2	0	4	1	7	7	12	7	15	7	6	2	4	0	0	0	0	0	0	0	0	0
GO:0003785	actin monomer binding	molecular function	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003796	lysozyme activity	molecular function	69	146	95	0	1	2	1	100	79	177	97	1	108	176	156	77	16	5	49	50	2	79	76	58	21	20
GO:0003810	protein-glutamine gamma-glutamyltransferase activity	molecular function	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003824	catalytic activity	molecular function	46327	69551	42272	749	775	454	912	40026	53400	79788	54693	780	32368	52707	66901	11735	2860	2641	13248	12470	672	13698	9462	12118	4004	12271
GO:0003825	alpha@alpha-trehalose-phosphate synthase (UDP-forming) activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
GO:0003830	beta-1@4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	molecular function	16	8	19	0	0	0	0	0	21	2	8	0	2	0	7	5	0	0	9	3	0	12	2	8	0	1
GO:0003839	gamma-glutamylcyclotransferase activity	molecular function	25	45	14	0	0	1	1	82	20	168	18	0	48	94	46	16	6	3	4	5	1	8	8	4	7	5
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	3	3	1	5	2	6	2	4
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity	molecular function	15	39	15	1	0	0	0	8	16	36	13	0	65	95	38	36	8	5	11	10	2	10	19	6	11	19
GO:0003843	1@3-beta-D-glucan synthase activity	molecular function	3	0	0	0	0	2	0	1	6	2	8	0	0	1	0	0	0	0	2	2	0	0	0	0	0	3
GO:0003844	1@4-alpha-glucan branching enzyme activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	2	9	8	3	7	11	6	5	10
GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity	molecular function	2	15	10	2	1	0	0	10	11	15	4	0	29	59	13	9	6	2	4	3	0	5	6	2	6	9
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	molecular function	81	205	91	0	0	2	4	95	128	205	113	0	58	109	200	40	14	10	39	44	1	31	31	42	17	41
GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	molecular function	83	176	68	0	2	0	0	55	53	151	76	1	298	372	146	62	12	8	37	25	5	34	48	18	25	44
GO:0003852	2-isopropylmalate synthase activity	molecular function	160	269	122	1	1	0	4	139	193	236	197	2	134	187	225	64	15	13	62	57	2	54	50	60	22	58
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity	molecular function	124	113	91	0	2	1	0	53	106	85	127	0	80	114	121	7	4	7	13	10	0	21	5	11	5	18
GO:0003855	3-dehydroquinate dehydratase activity	molecular function	180	325	152	5	3	0	1	209	182	366	187	6	177	216	300	61	13	15	57	50	2	48	48	45	19	52
GO:0003856	3-dehydroquinate synthase activity	molecular function	7	0	10	3	0	0	1	0	13	3	13	1	0	1	4	27	6	7	17	14	2	10	26	20	13	21
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	molecular function	572	890	494	8	10	4	12	953	541	1765	609	6	674	1140	844	152	48	39	159	132	11	155	138	116	58	148
GO:0003858	3-hydroxybutyrate dehydrogenase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	8	8	9	7	1	10	18	6	13	19
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity	molecular function	80	164	89	2	0	2	2	155	66	344	82	2	206	337	177	51	13	9	22	21	0	18	38	10	19	33
GO:0003861	3-isopropylmalate dehydratase activity	molecular function	19	56	26	0	0	0	0	49	13	85	26	1	27	45	66	66	11	22	35	45	4	37	61	28	20	66
GO:0003862	3-isopropylmalate dehydrogenase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	4	6	9	12	1	12	17	8	9	16
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity	molecular function	190	491	212	4	0	0	3	196	254	448	276	0	236	384	404	74	11	13	52	63	2	52	56	57	17	52
GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	6	6	5	3	2	7	14	8	10	20
GO:0003867	4-aminobutyrate transaminase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	4	8	8	0	10	13	6	11	12
GO:0003870	5-aminolevulinate synthase activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	7	5	7	6	0	6	18	3	6	16
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	molecular function	175	471	148	13	3	4	6	134	127	266	162	5	18	79	549	62	8	7	100	77	7	112	58	52	16	61
GO:0003872	6-phosphofructokinase activity	molecular function	288	255	261	2	5	2	3	50	357	157	395	4	61	98	262	37	11	5	63	81	3	65	37	83	9	58
