GO	description	category	ERR1809119	ERR1809120	ERR1809121	ERR1809122	ERR1809123	ERR1809124	ERR1809125	ERR1809127	ERR1809128	ERR1809129	ERR1809130	ERR1809131	ERR1809132	ERR1809133	ERR1809134	ERR1809135	ERR1809136	ERR1809137	ERR1809138	ERR1809139	ERR1809140	ERR1809141	ERR1809142	ERR1809143	ERR1809144	ERR1809145	ERR1809146	ERR1809147	ERR1809148	ERR1809149	ERR1809150	ERR1809151	ERR1809152	ERR1809153	ERR1809154	ERR1809155	ERR1809156
GO:0000407	pre-autophagosomal structure	cellular component	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000413	protein peptidyl-prolyl isomerization	biological process	399	400	387	428	407	85	117	0	358	370	418	396	344	421	397	429	381	284	153	148	126	162	127	141	144	114	108	19	170	67	27	172	148	91	62	51	50
GO:0000439	core TFIIH complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000723	telomere maintenance	biological process	23	22	22	29	30	6	11	0	39	36	47	40	42	34	31	42	23	17	9	9	5	20	18	19	21	16	18	1	3	7	5	0	0	26	4	6	12
GO:0000746	conjugation	biological process	4	10	8	6	4	0	7	0	3	2	4	2	0	4	6	3	8	5	0	2	0	3	1	4	0	1	0	0	0	6	0	0	2	0	0	0	0
GO:0000772	mating pheromone activity	molecular function	0	1	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000774	adenyl-nucleotide exchange factor activity	molecular function	221	234	232	224	241	35	47	0	194	196	249	189	155	201	184	194	163	101	71	65	59	75	75	87	80	58	75	12	72	37	12	78	85	44	12	16	14
GO:0000784	nuclear chromosome, telomeric region	cellular component	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000786	nucleosome	cellular component	0	1	0	0	0	0	0	0	2	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GO:0000795	synaptonemal complex	cellular component	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000902	cell morphogenesis	biological process	953	975	995	936	1039	235	259	0	898	862	947	852	748	1008	967	1027	967	648	356	328	224	374	334	364	364	298	335	51	392	165	46	332	259	193	111	147	116
GO:0000917	barrier septum assembly	biological process	13	18	22	18	25	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000921	septin ring assembly	biological process	4	4	3	5	2	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	molecular function	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	molecular function	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001000	bacterial-type RNA polymerase core enzyme binding	molecular function	0	1	0	0	0	0	0	0	43	42	53	44	36	0	0	0	1	0	0	0	0	1	1	2	2	2	0	0	0	1	0	0	1	11	0	1	0
GO:0001505	regulation of neurotransmitter levels	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001510	RNA methylation	biological process	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0001514	selenocysteine incorporation	biological process	27	24	21	20	24	2	3	0	10	10	22	13	17	6	4	6	2	4	11	9	9	10	3	2	6	4	7	2	8	0	0	3	1	2	5	15	0
GO:0001522	pseudouridine synthesis	biological process	1308	1237	1312	1361	1332	324	462	0	1416	1384	1427	1437	1215	1225	1231	1390	1253	883	549	538	384	639	623	641	675	683	673	116	569	267	124	511	380	411	212	207	270
GO:0001558	regulation of cell growth	biological process	9	8	5	6	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0
GO:0001614	purinergic nucleotide receptor activity	molecular function	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001671	ATPase activator activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0002098	tRNA wobble uridine modification	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GO:0002100	tRNA wobble adenosine to inosine editing	biological process	128	100	128	127	114	30	88	0	125	118	144	141	107	136	105	111	136	70	90	99	53	87	73	78	83	81	73	16	90	43	21	90	76	50	21	32	40
GO:0002128	tRNA nucleoside ribose methylation	biological process	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0002143	tRNA wobble position uridine thiolation	biological process	15	8	13	10	8	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0002161	aminoacyl-tRNA editing activity	molecular function	1937	1893	2011	2012	1955	487	433	0	1845	1858	2044	1964	1652	1948	1936	1999	1929	1258	633	700	502	828	835	800	837	789	772	122	612	344	85	709	565	370	195	225	250
GO:0002949	tRNA threonylcarbamoyladenosine modification	biological process	203	189	226	222	192	44	59	0	234	186	200	215	155	201	204	227	199	131	64	65	39	70	84	74	72	79	81	12	78	26	9	71	73	57	19	20	24
GO:0003333	amino acid transmembrane transport	biological process	174	165	153	153	160	40	10	0	45	31	46	32	34	36	18	32	23	16	19	24	20	16	10	17	16	10	8	0	5	22	2	7	9	17	9	0	12
GO:0003676	nucleic acid binding	molecular function	7086	7028	7357	7183	7440	1689	1563	0	7758	7297	7882	7514	6353	7286	7036	8002	7412	4860	2284	2330	1644	2731	2692	2729	2774	2450	2443	386	2048	1329	587	2274	1859	1707	648	860	920
GO:0003677	DNA binding	molecular function	48635	47012	49660	48530	49778	11207	8489	9	48283	46061	50553	48496	40471	41171	39388	43433	41758	26871	13257	13566	9553	16480	15311	16245	16527	13436	13565	2095	13051	6168	3327	11076	9089	7269	4222	4261	4698
GO:0003678	DNA helicase activity	molecular function	1302	1257	1277	1318	1347	270	492	0	1340	1192	1338	1272	1087	1464	1286	1502	1460	983	421	402	294	565	510	526	506	607	626	76	347	335	179	409	346	310	157	193	369
GO:0003684	damaged DNA binding	molecular function	257	223	247	282	237	63	52	0	261	234	255	237	197	190	172	181	193	128	62	88	66	96	120	128	145	139	136	19	94	40	15	89	81	26	32	31	21
GO:0003688	DNA replication origin binding	molecular function	54	51	63	45	48	10	7	0	48	54	45	48	45	48	34	44	49	21	19	8	11	10	13	7	17	7	15	3	11	7	3	8	3	13	2	6	7
GO:0003690	double-stranded DNA binding	molecular function	54	46	51	58	59	17	14	0	63	66	53	72	45	14	22	21	28	14	30	41	15	28	36	32	37	12	22	2	43	7	10	6	5	4	9	5	26
GO:0003697	single-stranded DNA binding	molecular function	1427	1362	1470	1412	1452	325	267	0	1366	1350	1523	1401	1188	1487	1463	1534	1420	922	440	410	324	473	479	436	488	449	477	89	400	222	76	514	432	306	128	189	120
GO:0003700	transcription factor activity, sequence-specific DNA binding	molecular function	8036	7555	8093	7837	8127	1802	1493	2	7479	7005	7842	7438	6119	6327	6063	6884	6373	4132	2193	2232	1701	2509	2398	2594	2664	2167	2195	340	2496	953	395	1789	1437	1025	786	819	610
GO:0003707	steroid hormone receptor activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003712	transcription cofactor activity	molecular function	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
GO:0003713	transcription coactivator activity	molecular function	9	8	7	4	5	4	3	0	10	9	14	11	8	8	6	6	7	1	2	0	1	3	4	5	5	3	5	0	11	2	0	1	0	1	1	5	1
GO:0003723	RNA binding	molecular function	7347	7213	7526	7489	7693	1768	1756	2	7849	7654	8359	7839	6709	6904	6729	7494	7068	4770	2406	2369	1716	2921	2714	2857	2914	2686	2699	440	2557	1294	478	2429	1904	1845	814	938	921
GO:0003724	RNA helicase activity	molecular function	1	1	1	1	1	0	0	0	3	4	7	5	7	8	3	2	5	6	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
GO:0003725	double-stranded RNA binding	molecular function	351	368	312	335	365	85	124	0	315	327	357	365	302	343	312	378	316	224	147	153	92	171	163	170	154	116	109	17	131	111	19	237	219	110	42	54	75
GO:0003729	mRNA binding	molecular function	22	29	30	21	26	9	3	0	29	15	23	25	17	24	20	24	25	14	1	3	2	0	0	3	1	5	1	0	0	1	0	0	0	0	0	0	0
GO:0003735	structural constituent of ribosome	molecular function	11525	11348	11896	11624	11773	2625	1605	1	12789	12281	13467	12493	10651	10603	10294	11234	10716	6978	2548	2506	1827	3512	3217	3462	3450	3782	3835	645	2947	1502	412	3338	2750	2072	840	891	753
GO:0003743	translation initiation factor activity	molecular function	491	465	506	493	509	130	72	0	534	524	558	458	412	509	490	560	495	331	86	90	60	131	104	101	130	95	91	18	107	72	22	125	96	120	25	41	47
GO:0003746	translation elongation factor activity	molecular function	667	620	593	615	628	139	77	0	687	609	679	726	577	516	498	574	543	361	142	145	121	171	169	193	181	153	144	22	172	71	24	170	148	78	55	52	46
GO:0003747	translation release factor activity	molecular function	459	440	483	464	468	93	96	0	455	453	430	451	405	447	449	469	447	311	171	164	104	193	179	191	156	171	160	32	139	107	27	135	110	152	53	68	72
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	molecular function	399	400	387	428	407	85	117	0	358	370	418	396	344	421	397	429	381	284	153	148	126	162	127	141	144	114	108	19	170	67	27	172	148	91	62	51	50
GO:0003774	motor activity	molecular function	150	132	149	150	134	25	8	0	51	33	34	35	24	3	12	7	11	8	10	12	8	20	9	14	13	1	5	0	7	5	0	6	3	1	10	5	0
GO:0003777	microtubule motor activity	molecular function	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GO:0003779	actin binding	molecular function	36	29	42	24	33	10	1	0	26	25	30	41	26	52	43	51	46	25	2	3	4	5	8	10	9	2	5	1	7	0	4	3	2	3	4	2	3
GO:0003785	actin monomer binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	1	0	4	5	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003796	lysozyme activity	molecular function	137	136	168	158	142	26	45	0	95	99	133	106	108	116	102	107	139	81	52	48	40	59	48	55	62	52	55	10	42	17	16	18	16	34	12	17	13
GO:0003824	catalytic activity	molecular function	87331	84026	88439	87626	88500	20231	21092	31	85083	81780	88075	84558	70729	89478	83953	93912	89252	57802	23980	23809	17081	28937	27620	28835	29671	23867	24271	3696	22213	15908	6623	27555	22040	18899	8218	8910	13544
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	molecular function	1	4	2	1	2	3	0	0	0	0	1	0	0	5	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003840	gamma-glutamyltransferase activity	molecular function	132	114	152	134	167	35	34	0	64	74	82	64	61	59	59	55	54	50	88	79	50	138	108	103	110	88	59	11	33	6	6	26	21	32	15	38	12
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity	molecular function	11	20	10	22	20	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	1	0	0	0	0	2	0	0
GO:0003843	1,3-beta-D-glucan synthase activity	molecular function	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity	molecular function	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	molecular function	312	295	292	307	306	65	44	0	362	379	436	409	334	393	387	389	354	246	56	65	48	120	145	119	118	74	81	9	61	67	35	101	88	121	10	22	40
GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	molecular function	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GO:0003852	2-isopropylmalate synthase activity	molecular function	158	170	161	159	168	34	49	0	181	159	187	166	127	171	136	206	193	120	36	39	36	64	61	63	72	32	52	9	53	44	20	49	38	33	19	18	34
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity	molecular function	7	8	4	6	13	1	1	0	16	10	8	9	6	10	4	9	6	1	3	4	5	13	19	15	9	4	3	0	5	3	0	1	2	1	4	1	0
GO:0003855	3-dehydroquinate dehydratase activity	molecular function	356	370	321	370	333	75	105	0	362	342	389	364	328	457	422	420	418	304	145	127	88	126	115	119	144	134	105	16	136	51	23	152	100	112	47	56	33
GO:0003856	3-dehydroquinate synthase activity	molecular function	6	8	9	4	8	1	4	0	3	2	4	4	1	3	0	1	1	1	11	14	2	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	2
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	molecular function	179	219	198	200	220	48	55	0	253	259	267	289	226	128	114	128	127	72	65	69	70	63	60	46	52	73	76	14	85	42	11	38	42	27	28	29	19
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity	molecular function	3	5	6	5	6	1	0	0	4	3	12	4	7	1	4	1	3	2	2	1	0	7	5	3	8	24	17	4	3	0	0	3	3	1	1	1	0
GO:0003861	3-isopropylmalate dehydratase activity	molecular function	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity	molecular function	462	455	449	471	460	117	106	0	342	311	330	302	257	571	532	571	549	402	131	102	97	108	113	111	90	56	52	7	95	111	35	175	130	132	32	29	84
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	molecular function	148	169	169	154	150	36	3	0	320	340	366	311	283	14	10	12	11	11	14	10	10	60	50	62	56	4	6	1	14	10	14	84	73	41	5	3	1
GO:0003872	6-phosphofructokinase activity	molecular function	920	964	1030	1004	965	207	288	0	821	779	865	779	662	1066	949	1159	1021	709	264	283	206	329	302	340	368	378	360	54	284	143	134	358	283	182	154	84	234
GO:0003873	6-phosphofructo-2-kinase activity	molecular function	1	2	1	2	3	0	0	0	1	1	0	3	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0
GO:0003879	ATP phosphoribosyltransferase activity	molecular function	240	218	253	242	250	48	53	0	275	272	275	333	257	287	267	325	277	182	91	77	44	84	91	79	82	34	54	9	59	43	26	51	43	67	14	19	28
GO:0003883	CTP synthase activity	molecular function	804	824	880	849	863	187	131	0	734	783	891	829	673	810	738	852	895	534	214	197	182	321	257	283	285	383	353	49	212	163	35	257	218	207	67	75	142
GO:0003887	DNA-directed DNA polymerase activity	molecular function	1816	1819	1920	1865	1969	438	393	0	2153	2038	2330	2115	1791	1639	1469	1656	1596	1056	415	478	294	566	549	565	630	448	439	72	446	257	116	551	450	367	121	174	252
GO:0003896	DNA primase activity	molecular function	968	920	1062	1025	966	245	184	0	861	829	848	903	699	1023	985	1062	1074	691	336	329	222	278	244	283	279	236	245	39	277	121	152	290	241	155	122	75	126
GO:0003899	DNA-directed RNA polymerase activity	molecular function	4867	4817	5135	5026	5066	1154	964	2	5144	4926	5219	5060	4385	4743	4525	5036	4931	3140	1265	1339	918	1747	1684	1752	1773	2409	2489	400	1310	840	240	1656	1347	1109	406	497	545
GO:0003905	alkylbase DNA N-glycosylase activity	molecular function	59	51	55	60	66	13	11	0	49	42	53	51	34	25	17	26	24	14	13	16	10	37	33	31	35	55	44	11	10	0	0	13	4	3	11	5	0
GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	molecular function	57	52	53	67	42	14	7	0	21	13	13	13	13	23	16	24	17	21	11	7	5	5	2	2	2	0	0	0	3	5	0	3	0	2	4	1	1
GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity	molecular function	93	112	115	108	116	25	36	0	85	89	108	88	74	98	122	99	134	78	51	39	34	42	50	38	46	35	25	6	30	45	10	34	30	35	9	13	62
GO:0003909	DNA ligase activity	molecular function	0	1	0	0	0	0	0	0	6	6	15	12	7	0	1	2	0	0	1	1	0	1	0	0	1	1	3	0	1	0	0	0	0	0	0	0	0
GO:0003910	DNA ligase (ATP) activity	molecular function	1	0	1	1	2	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	2	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0
GO:0003911	DNA ligase (NAD+) activity	molecular function	1005	948	1000	1028	1030	254	263	0	1039	972	1101	1024	779	1027	894	1096	1013	661	367	367	253	406	423	409	467	285	310	43	266	181	80	379	312	302	110	153	144
GO:0003916	DNA topoisomerase activity	molecular function	2497	2459	2512	2488	2749	581	1186	1	2726	2477	2756	2743	2294	2453	2329	2609	2493	1661	1381	1426	928	1285	1186	1254	1326	1427	1433	218	1021	673	538	989	833	781	407	421	641
GO:0003917	DNA topoisomerase type I activity	molecular function	123	115	97	95	123	23	36	0	96	93	110	112	75	134	119	116	156	79	42	64	34	62	48	54	60	43	46	5	47	20	8	53	64	27	23	10	9
GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity	molecular function	3888	3797	4024	3875	3994	939	889	4	4052	3918	4145	4064	3396	3844	3852	4055	4049	2517	1201	1203	858	1503	1349	1510	1582	1630	1604	229	1203	709	287	1294	1158	994	360	435	458
GO:0003919	FMN adenylyltransferase activity	molecular function	212	217	240	224	199	46	53	0	229	255	263	272	195	249	249	236	222	157	94	84	80	80	70	75	83	80	84	12	84	35	22	94	65	71	27	23	23
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity	molecular function	318	318	321	323	350	95	82	0	315	323	360	303	271	316	313	352	322	190	103	95	86	131	149	153	148	93	102	13	102	64	24	111	86	80	31	31	78
GO:0003924	GTPase activity	molecular function	1043	992	1124	1001	1091	243	284	0	980	865	982	1007	803	1022	981	1085	1064	744	359	375	289	391	376	334	380	446	448	80	322	196	107	286	244	282	126	116	172
GO:0003933	GTP cyclohydrolase activity	molecular function	16	18	24	29	17	5	11	0	8	8	7	10	10	7	12	3	8	6	18	20	8	8	10	4	10	1	1	0	9	0	0	41	34	0	8	0	5
GO:0003934	GTP cyclohydrolase I activity	molecular function	95	119	111	126	125	24	19	0	138	120	132	135	129	183	159	177	172	122	13	28	18	26	20	32	24	52	48	10	26	16	7	37	35	37	3	16	15
GO:0003937	IMP cyclohydrolase activity	molecular function	602	632	638	650	649	135	202	0	630	648	679	680	535	833	745	818	802	506	175	201	132	284	272	258	280	322	297	49	175	129	49	289	222	201	67	95	77
GO:0003941	L-serine ammonia-lyase activity	molecular function	208	197	199	206	206	40	63	0	144	161	197	158	136	226	214	204	195	126	67	63	58	98	85	69	80	61	42	5	53	46	19	90	77	70	17	22	43
