GO	description	category	ERR1811624	ERR1811625	ERR1811626	ERR1811627	ERR1811628	ERR1811629	ERR1811630	ERR1811631	ERR1811632	ERR1811633	ERR1811634	ERR1811635	ERR1811636	ERR1811637	ERR1811638	ERR1811639	ERR1811640	ERR1811641	ERR1811642	ERR1811643	ERR1811644	ERR1811645	ERR1811646	ERR1811647	ERR1811648	ERR1811649	ERR1811650	ERR1811651	ERR1811652	ERR1811653	ERR1811654	ERR1811655	ERR1811656	ERR1811657	ERR1811658	ERR1811659	ERR1811660	ERR1811661
GO:0004803	transposase activiy	molecular function	16941	17624	29948	18265	26337	10706	20663	17303	17862	21443	24826	17607	18423	9366	23164	7728	15669	14387	24393	28102	28004	9319	12361	16931	16428	20984	31694	20073	20826	22754	19901	17157	31433	18230	21623	17682	9041	20617
GO:0004871	signal transducer activity	molecular function	15886	16904	35221	19021	29775	10880	21323	17625	21056	24135	25385	17832	21987	12825	27724	8858	23187	21105	25649	33615	32327	12113	16745	20515	17418	23736	34848	19099	25647	24625	20459	19565	28780	22724	24158	21104	10152	23652
GO:0004872	receptor activity	molecular function	20975	23048	61672	28456	42082	11994	29902	24716	35177	34612	27993	24515	25895	14325	38016	15269	32556	30417	31453	43045	39227	18354	23848	31076	25808	28620	44475	26321	31115	32102	29842	23439	38327	26524	33424	38504	10786	27403
GO:0005215	transporter activity	molecular function	87938	93808	207753	112820	167945	48096	119528	94268	124628	130586	111248	101098	105460	59754	159685	46721	108061	101146	142918	186423	164793	64755	85847	109951	99473	116052	184815	103482	124211	137484	118984	101339	153839	114468	132847	127769	47801	110703
GO:0005515	protein binding	molecular function	95109	113206	222706	138623	204058	74237	133451	116730	159685	151370	172225	119124	137604	63015	160623	61073	119251	124694	158085	199174	186791	65432	81101	123312	116381	142388	227667	122194	137666	140330	132646	125945	181099	118251	152199	135555	44562	131707
GO:0005575	cellular component	cellular component	1114	1048	2495	1229	1833	407	1545	1059	1727	1796	969	1294	1054	526	1816	474	929	1013	1728	1960	1800	502	620	1003	1110	1256	1808	884	1307	1201	1515	872	1014	1054	1590	1490	364	971
GO:0005576	extracellular region	cellular component	676	726	1883	1135	1468	569	915	1145	1210	1295	1295	1045	1158	455	1049	873	1601	1371	1081	1313	1275	1157	1624	1879	1044	1094	1870	900	1466	1118	946	963	1435	1173	1127	1009	826	989
GO:0005618	cell wall	cellular component	92	180	478	326	458	103	188	143	352	332	149	310	232	114	192	213	402	292	184	278	262	221	250	395	198	184	322	170	244	201	192	126	309	173	188	228	187	169
GO:0005622	intracellular	cellular component	20878	22841	48609	30375	45269	12777	28646	22350	30538	32947	30141	26823	24882	14100	40396	12056	28148	26433	35044	44661	40396	17897	25021	30687	23871	28788	44502	29487	34680	37718	28791	24758	45899	31115	32306	31836	12997	29688
GO:0005634	nucleus	cellular component	88	58	126	107	142	63	147	160	100	116	142	98	98	55	128	86	126	135	124	108	133	138	110	128	86	97	121	113	151	136	111	69	149	126	120	55	48	113
GO:0005694	chromosome	cellular component	2338	2416	4766	3236	4592	1687	3147	2397	3189	3604	3591	2800	2524	1540	4620	1058	2474	2609	3789	4790	4468	1518	1909	2602	2537	3090	4392	3238	4021	4453	3044	2479	5600	3408	3486	3090	1313	3457
GO:0005727	extrachromosomal circular DNA	cellular component	51	9	17	22	21	7	53	22	27	29	18	15	56	30	40	31	16	12	27	39	41	17	23	64	86	54	60	35	21	46	53	22	47	31	31	22	30	11
GO:0005737	cytoplasm	cellular component	27242	29393	62768	35461	53516	17519	36891	28122	36436	40893	40293	31834	30413	18126	52872	13517	31599	30198	44337	55187	51477	19168	25942	32525	29828	36783	54874	39501	44942	49006	36759	31044	61188	40044	41196	39814	14819	37579
GO:0005839	proteasome core complex	cellular component	360	457	756	797	1059	551	481	450	736	578	1150	567	366	284	784	226	507	541	722	689	795	304	489	620	450	549	699	694	861	877	468	462	1341	666	564	471	402	820
GO:0005840	ribosome	cellular component	21692	24260	49916	33595	48857	15228	29740	23215	32567	35210	34617	29229	25655	14440	42249	12487	29764	28084	36032	45946	41864	19193	26665	32291	24398	30045	46147	33620	38244	40664	29370	26075	53939	34154	33635	32585	14261	32486
GO:0005874	microtubule	cellular component	18	22	32	30	41	62	25	16	22	24	158	19	20	9	31	18	36	35	56	56	38	19	20	45	27	28	46	42	71	59	31	16	106	49	46	20	14	58
GO:0005886	plasma membrane	cellular component	3865	4206	8674	5607	8183	2742	5110	4070	5417	6036	6971	4636	4879	2687	7863	2592	6085	5056	7272	8596	7580	3832	5369	6141	4353	5342	8714	6173	6691	7571	4930	4882	9466	5932	5914	5165	3324	5624
GO:0005975	carbohydrate metabolic process	biological process	82532	91549	195750	100431	147373	62906	113010	88220	103400	120985	148439	94098	104103	63575	165618	44561	106500	87307	146089	188456	168618	66682	98096	111695	94787	113018	179521	127949	158204	154253	113863	102654	202036	133810	133294	120127	58943	127262
GO:0006091	generation of precursor metabolites and energy	biological process	21383	22604	51616	29599	43004	10807	29083	23274	31043	33081	25053	25863	26702	14627	41811	12009	27984	26582	34347	46866	41814	17623	24086	30239	25129	29037	46964	26083	31051	35940	30680	25575	38434	29800	33698	33078	13306	27043
GO:0006259	DNA metabolic process	biological process	96147	104733	186240	119063	180672	69137	121617	96848	119618	132113	155366	108542	106740	58989	155454	52121	123512	105860	151754	177982	169196	74685	113256	128727	99174	125860	186839	123152	142920	151030	119144	106949	195907	127121	135871	119988	76447	132492
GO:0006282	regulation of DNA repair	biological process	220	213	524	293	482	136	297	195	323	402	348	292	275	161	527	113	272	262	390	501	407	149	241	294	278	259	432	345	389	505	303	232	494	318	374	353	155	288
GO:0006351	transcription, DNA-templated	biological process	22764	27329	53374	35871	53208	17616	31893	26578	37413	37621	39439	31114	30771	15775	42245	15470	36834	31624	38402	49460	46775	23017	33701	39311	28145	33971	53777	32590	39333	39379	31900	30461	52729	34486	37966	34663	16294	35066
GO:0006412	translation	biological process	58368	65533	135260	86534	128035	41083	80336	61703	84876	92875	94566	77050	67950	39745	115440	32087	76121	71606	98359	124412	112849	47374	66333	81512	65877	81465	123518	92290	103545	112665	79366	71292	149665	92862	92140	88241	36373	88349
GO:0006457	protein folding	biological process	7708	8332	18196	10311	15540	4542	10408	8128	11003	11547	10716	9278	8596	4981	13729	4045	9604	9139	11458	14703	14524	5376	7090	9391	8613	10500	14977	9394	11639	12681	10271	8804	14546	10121	11355	11914	3953	10383
GO:0006508	proteolysis	biological process	41317	44910	93337	54160	80701	29300	57342	46085	60423	60039	69259	47611	50369	28816	78660	24621	54970	48235	70851	87619	80596	32968	49442	56979	47907	58204	91801	63460	68121	70414	56251	49771	92420	57569	66530	60177	25693	55300
GO:0006629	lipid metabolic process	biological process	27779	29901	65248	37593	55858	16229	37137	29880	40423	41070	37880	32157	31760	17023	49668	15213	34462	32927	43282	54373	51766	20766	28892	36565	31159	36622	57133	34663	39836	43820	38272	32850	52303	36571	41382	41893	16619	35779
GO:0006807	nitrogen compound metabolic process	biological process	147106	170068	353135	216951	322167	98220	198432	160614	220450	230350	225576	182567	182111	95499	269817	86107	201558	191227	242976	303153	281560	123557	174925	215984	168445	207668	318905	198334	228977	255849	203852	183644	316272	211228	229364	225124	98320	208076
GO:0006808	regulation of nitrogen utilization	biological process	836	1126	2170	1493	2292	417	1188	1010	1417	1596	943	1464	1106	603	1486	481	1281	1277	1367	1785	1769	796	817	1194	948	1361	1878	854	1175	1309	1336	1101	1337	1134	1406	1338	645	1181
GO:0006810	transport	biological process	153970	167896	371115	200563	295279	95095	208670	165165	216177	233323	221992	176474	184778	105112	282284	86873	197478	184265	252287	324443	288249	117925	159515	201529	172175	206432	319980	199210	230004	253133	205476	178637	300608	210496	233146	230163	93823	207122
GO:0006950	response to stress	biological process	24555	27725	57341	35897	52908	16817	34226	27975	36883	38459	39700	31125	31837	16819	46649	15309	36429	32008	43150	52647	48432	22018	31962	38501	28846	34519	54458	34991	40195	43974	34180	31369	53615	35474	39091	36186	17333	34761
GO:0007155	cell adhesion	biological process	2712	2764	6216	3057	4189	1503	3814	2356	4175	3333	3630	2928	2097	1218	3825	988	1459	2157	3475	4489	4608	940	847	2155	2561	3334	4646	1764	2844	2962	3807	2542	3095	2320	3750	3889	502	3756
GO:0007165	signal transduction	biological process	17585	21573	41787	27339	40425	14643	23792	20775	28208	29854	32761	22716	25810	13017	28942	11873	28637	26580	29197	36034	35326	15695	22327	27962	19903	27480	40761	22227	26873	26788	23079	24113	32530	23674	27228	24830	11597	27706
GO:0008134	transcription factor binding	molecular function	13704	15024	27755	12466	20565	8765	17990	14939	15815	17050	19883	12730	13842	9623	21007	3970	9933	10903	19328	26720	26758	4881	6280	9320	14543	19912	26266	13517	17898	16070	18172	16235	19310	15335	21318	17744	4218	19374
GO:0008150	biological process	biological process	9229	10727	20156	12738	19386	5120	11949	10237	13989	14392	12190	11449	11401	5988	16640	5466	13306	11569	14818	19214	16997	7801	11627	13356	10692	12770	20630	10961	13374	14998	12530	11538	17483	12695	13990	13395	8752	13303
GO:0008152	metabolic process	biological process	374913	442722	906029	551911	826698	286628	502878	435471	577063	586512	680702	465830	504814	260953	675647	240140	544659	503554	651160	789101	732283	334638	480323	610808	445774	537010	859780	509801	560171	620947	516765	500851	779957	534175	607975	571936	306830	548063
GO:0008218	bioluminescence	biological process	77	91	217	141	189	80	110	125	180	127	115	120	157	38	177	75	116	155	134	179	146	69	68	121	154	112	285	63	100	90	138	112	148	137	149	125	96	116
GO:0008233	peptidase activity	molecular function	47662	51843	109332	62410	92443	33494	66708	53511	70821	69710	79228	54560	58099	33008	90528	28534	63072	55550	81583	101360	93053	38148	57124	65272	55614	66470	106564	70597	77339	80215	65842	57380	104166	66078	77284	70348	28847	63149
GO:0008658	penicillin binding	molecular function	3326	3647	7646	4928	7175	1945	4507	3782	4686	5545	4531	4452	4166	2216	6675	1792	4920	4199	5664	7335	6399	2591	4076	4867	3859	4727	7250	4759	5142	5869	4475	4167	7251	4989	5241	4887	2014	4714
GO:0009055	electron carrier activity	molecular function	23747	26878	58414	36055	55408	13739	31442	27353	39164	40026	30362	31044	33797	15515	42353	14469	31334	31699	41272	52781	46142	18970	24338	32986	28678	33811	55876	25894	30682	37964	32783	31218	38414	28833	37168	36002	12713	29176
GO:0009058	biosynthetic process	biological process	165161	189950	379981	236479	354926	109455	219122	176542	239597	252063	250421	204036	195897	106933	298476	92664	219405	205806	268384	330760	313638	133206	192272	231308	184493	230335	347356	219247	256401	279960	224530	201807	351150	235478	252104	243700	113669	231451
GO:0009276	Gram-negative-bacterium-type cell wall	cellular component	7	2	4	4	15	0	9	3	5	2	0	6	1	0	7	0	4	1	3	5	3	2	3	5	5	1	0	0	3	2	3	0	2	4	1	7	0	5
GO:0009288	bacterial type flagellum	cellular component	1495	1785	2385	1595	2766	1143	1836	1342	1028	1947	2855	1660	1536	1340	2538	582	1774	1895	2193	2937	2919	721	772	1462	1204	2225	2556	1827	2972	2237	1620	1593	2959	2663	2021	1387	1023	2251
GO:0009317	acetyl-CoA carboxylase complex	cellular component	942	1088	2341	1493	1948	412	1325	1043	1566	1575	1002	1236	1004	618	1793	605	1295	1290	1358	1721	1837	809	1034	1361	1116	1154	1866	1082	1327	1475	1353	1034	1765	1342	1339	1536	493	1044
GO:0009341	beta-galactosidase complex	cellular component	586	825	1590	547	769	739	905	551	541	858	1763	630	644	669	1248	241	579	481	1226	1600	1273	394	363	585	701	793	1168	1374	1595	1416	818	734	2246	1329	972	955	507	1250
GO:0009346	citrate lyase complex	cellular component	287	191	506	100	188	215	482	233	220	191	470	163	173	274	812	21	128	99	527	757	775	43	30	19	288	332	555	808	748	659	388	299	1199	624	584	338	78	360
GO:0009349	riboflavin synthase complex	cellular component	694	720	1600	936	1397	381	879	730	944	928	977	846	731	441	1169	306	867	874	1047	1243	1419	557	704	876	766	929	1379	880	1043	1119	890	793	1526	1013	992	976	400	887
GO:0009372	quorum sensing	biological process	26	5	14	10	5	10	12	11	7	3	21	4	31	11	59	10	10	11	44	52	13	20	5	9	20	14	79	104	53	238	11	16	248	77	18	9	16	25
GO:0009403	toxin biosynthetic process	biological process	334	270	652	308	448	136	387	230	326	429	341	287	221	173	440	134	244	311	435	498	510	132	164	233	228	294	419	331	345	474	351	223	443	353	370	339	85	328
GO:0009405	pathogenesis	biological process	179	212	422	215	299	131	263	124	238	260	399	179	212	104	349	125	311	199	263	280	385	148	219	235	186	226	301	234	280	249	206	143	439	242	203	189	131	164
GO:0009579	thylakoid	cellular component	89	100	235	73	92	31	196	241	61	58	59	58	76	22	143	221	121	127	112	377	137	534	67	104	123	73	120	62	90	140	114	73	115	79	133	56	24	128
GO:0009607	response to biotic stimulus	biological process	361	372	484	576	853	326	429	636	478	505	1015	525	990	483	826	280	571	519	847	1097	924	327	388	633	538	773	1325	737	890	813	563	593	1107	885	734	335	551	608
GO:0009628	response to abiotic stimulus	biological process	227	193	388	77	78	186	272	112	79	147	320	78	87	97	270	22	74	49	272	262	255	70	63	76	107	190	163	155	203	336	197	107	296	163	219	284	80	339
GO:0015948	methanogenesis	biological process	4539	5113	8209	2780	4015	5316	5617	4028	3100	5024	12975	2619	4838	2848	9277	923	1150	1918	10028	10237	8589	672	771	1595	3857	6950	8340	8327	6776	10876	4895	5735	12539	5936	7601	4828	1733	8001
GO:0015979	photosynthesis	biological process	478	315	907	353	414	59	633	730	299	268	142	225	262	199	1350	360	297	354	533	986	636	797	166	328	504	471	577	844	496	638	684	319	618	799	688	485	130	299
GO:0016020	membrane	cellular component	117231	130779	292141	162617	236579	73921	160711	130239	173486	184436	173533	141431	149823	82502	216212	71693	163451	149495	194373	254900	224709	98563	135438	165760	136028	160534	255710	155597	178226	193094	158198	141702	233007	163220	181490	180171	77386	161237
GO:0016032	viral process	biological process	4264	6497	3792	4111	8660	2547	3171	3505	5768	4612	5827	4242	3497	2161	3632	2986	9012	6302	4963	6191	4737	5218	9632	6640	4071	5262	8394	3850	4986	5261	4106	4488	7479	5597	5062	5427	13719	9082
GO:0016070	RNA metabolic process	biological process	58705	64400	135881	80654	120310	40086	80073	59983	80607	88422	91462	71527	65782	39063	115438	29857	70327	67137	96966	121387	111055	42482	58483	73685	64941	79468	119344	90852	100641	112862	78741	68938	146440	90625	90540	86757	33877	85371
GO:0016209	antioxidant activity	molecular function	4857	5885	12049	7899	11488	2750	6745	5410	8134	8172	6539	6713	6261	3345	9011	3026	7237	6359	8402	10708	10119	4318	5960	7450	6008	7225	11470	5904	7301	7759	6975	6372	8725	6341	7804	7421	3305	6395
GO:0016226	iron-sulfur cluster assembly	biological process	2720	3152	6143	4260	6311	1787	3622	3017	4398	4370	4160	3801	3443	1868	5692	1620	3768	3317	5128	5920	5843	2383	3448	4029	3414	3860	6254	4318	4585	5625	3695	3525	6773	4130	4331	3753	1817	3905
GO:0016301	kinase activity	molecular function	38160	41153	85427	50500	74314	27677	53379	44102	60637	57597	64973	45067	53298	27331	69314	23536	51544	48328	63889	83742	76666	28662	40661	51712	45893	56561	90146	50878	60290	62541	54034	48985	79751	51907	61411	51584	22099	54245
GO:0016310	phosphorylation	biological process	41470	43993	90125	53654	79152	28718	57131	46736	62401	61016	66844	48080	54711	28933	75388	23333	50883	49149	67577	88934	81993	28223	39342	51769	49138	59777	94993	54003	63466	65449	57178	51838	81875	55395	64638	54895	22461	57318
GO:0016469	proton-transporting two-sector ATPase complex	cellular component	3527	3766	7661	4995	7562	2026	4693	3795	4843	5291	5145	4332	4332	2341	7002	1794	4280	4212	5978	7556	6670	2543	3417	4745	3858	5014	7318	4873	5539	6738	4782	4226	7157	5115	5291	4944	1998	4746
GO:0016491	oxidoreductase activity	molecular function	225698	268005	558205	354315	524514	167121	305096	262994	364123	365256	383920	291461	310876	149284	405462	153351	354063	323591	388871	484960	443175	219134	319270	394985	271973	329696	529355	293706	332196	379063	315797	307748	464092	304703	363127	350763	199163	331207
GO:0016597	amino acid binding	molecular function	4764	5409	10836	6324	9308	3627	6631	5312	6625	7018	8482	5622	5539	3301	9394	2456	5583	5350	8555	10525	9607	3485	5039	6000	5509	6574	10115	8009	8550	9249	6513	6278	12579	7630	7964	6992	2936	7003
GO:0016740	transferase activity	molecular function	141364	156022	325843	191063	287264	98612	189440	152085	199066	214161	232665	168178	177324	95967	261907	79888	184514	172331	237868	293145	272260	111558	160849	196393	159890	198061	305426	195473	221152	242832	190044	174229	299127	202184	219247	204220	95380	197885
GO:0016779	nucleotidyltransferase activity	molecular function	28279	30538	60608	37069	56001	19116	37492	28428	37435	40767	42923	33775	30717	18225	52062	13751	33305	31524	45406	55529	52537	19638	29133	34925	29625	37387	54056	38501	45631	47660	36443	31636	61222	41383	42844	39480	16352	38880
GO:0016787	hydrolase activity	molecular function	114967	134901	283657	160046	238837	88325	156665	126978	169496	177722	204639	140473	145574	79995	211954	72265	164257	148740	199733	244631	223393	99587	139698	173443	135185	160942	251550	165330	195165	200074	155921	143061	260937	170415	182228	176327	85597	173142
GO:0016791	phosphatase activity	molecular function	3136	3647	7175	4080	6298	2061	4287	3673	4590	4471	4450	3556	3866	1998	5358	1641	3687	3397	4792	6477	5730	2348	3445	4664	3433	4222	6996	3917	4596	5004	4196	3875	6456	4015	4781	4549	1674	4078
GO:0016829	lyase activity	molecular function	45626	53995	111850	71403	104525	32758	61464	50173	70934	71885	73972	57892	58644	30025	80941	28136	67570	62473	76789	95644	88792	41514	59607	73882	52683	65539	101514	57986	68502	76525	63637	58714	91514	62541	71148	70263	29729	65489
GO:0016853	isomerase activity	molecular function	40759	44727	94850	54378	80202	28484	55092	42811	55382	60692	65986	48523	47787	27761	79459	21396	51142	46452	66732	85155	78724	31177	44477	53446	45893	54639	84725	62610	69513	74382	55544	49310	97332	61058	63051	60419	25630	59925
GO:0016874	ligase activity	molecular function	67606	76960	156368	97416	145283	47380	92537	71973	97692	104058	108205	85121	78785	44865	130712	36148	85289	80628	113671	140501	130176	52421	74799	91213	76469	93940	143776	101301	114578	125598	92732	83552	165343	103662	107448	101229	42891	99888
GO:0017000	antibiotic biosynthetic process	biological process	2174	2394	5602	2992	4537	1560	2997	3097	3619	3387	3730	2632	3542	1462	4528	1348	2871	2615	3774	5092	4456	1634	2419	2932	3025	3250	6004	2898	2993	3978	3059	3350	4267	2964	4095	3395	932	2897
GO:0017004	cytochrome complex assembly	biological process	2691	3032	6410	4052	6185	1282	3548	2827	4175	4214	3045	3398	3427	1544	4483	1391	3167	3277	4390	5312	4890	1862	2708	3251	3127	3612	6105	2795	3204	3642	3556	3190	3631	3082	4016	4204	1370	3280
GO:0017111	nucleoside-triphosphatase activity	molecular function	51471	58208	120456	74050	109353	37962	69795	56439	75096	82038	89677	64529	69957	36710	100888	33127	78849	69407	92162	114871	102856	47579	68775	83098	59491	74663	116597	79723	90239	98869	68775	65859	121600	79672	80803	74195	38378	76696
GO:0019008	molybdopterin synthase complex	cellular component	337	431	869	507	781	200	467	406	627	603	447	459	499	183	565	230	580	489	545	721	688	330	505	561	452	500	919	351	484	599	492	502	560	434	600	629	220	480
GO:0019012	virion	cellular component	3518	5307	3084	3006	6804	2096	2677	2565	4670	3708	4358	3467	2335	1508	2787	2362	7307	5100	4093	4763	3736	4278	7628	5054	3030	4125	6474	2824	4034	3893	3293	3553	5818	4356	4190	4533	11508	7549
GO:0019222	regulation of metabolic process	biological process	56674	65558	126503	75672	113302	38909	74375	62296	83119	86569	90442	67457	73735	38354	95541	35911	87381	72394	92265	118788	109285	54215	81528	89463	65475	81696	126973	69819	83854	84748	74800	71068	104171	75074	88158	80196	48370	83036
GO:0019842	vitamin binding	molecular function	15797	18892	36502	23986	36439	14279	20867	18319	23555	23610	33160	19070	21477	11012	28694	9186	21431	20152	27957	33732	30806	13245	18725	23745	18737	23417	37410	22351	23510	27683	21412	22509	34440	21210	25951	22669	10898	24721
GO:0019867	outer membrane	cellular component	7824	8955	13576	7881	13462	3350	8336	6864	9455	9474	7586	7120	5974	3867	10099	3757	9425	8009	10033	12257	11060	5340	8143	8001	7187	8623	12951	6795	8426	9108	8962	6993	9999	8050	9786	9370	9512	9839
GO:0019898	extrinsic component of membrane	cellular component	6	5	7	4	11	3	10	9	8	5	6	4	7	1	8	3	7	8	0	9	4	3	4	6	5	6	5	14	7	11	7	3	12	6	5	6	9	3
GO:0030170	pyridoxal phosphate binding	molecular function	19861	23923	52329	30664	44763	13509	28021	23129	32986	32459	32286	25577	27379	13534	35828	13253	28468	28260	34405	44373	39764	16923	23261	30111	24644	29683	46995	26721	29297	33500	28450	26169	39968	27705	32628	33330	13265	28475
GO:0030246	carbohydrate binding	molecular function	5311	6021	13340	6473	9275	4517	7636	5579	6555	7790	11117	5889	6369	4429	11243	3062	6459	5947	9740	12142	10653	4124	5499	6994	6183	7285	11091	9889	11999	9921	7097	6306	15539	9912	8552	8084	3881	8855
GO:0031224	intrinsic to membrane	cellular component	58603	63084	136271	78059	114728	32876	78751	62555	84561	88407	75516	67762	71045	38538	106001	33014	78067	69907	95831	123352	108891	46563	65193	79036	66051	77483	123048	69001	83424	93211	78304	68216	102015	74999	86658	83682	35782	74362
GO:0033202	DNA helicase complex	cellular component	154	184	435	251	387	89	278	160	281	292	229	214	217	133	372	110	221	232	281	368	284	148	207	298	208	240	387	272	305	352	264	229	384	251	266	276	116	234
GO:0042221	response to chemical	biological process	4794	5131	11777	6245	9389	2870	6291	5152	6596	7164	6734	5408	6265	3656	8514	2787	6971	6607	7058	9493	9318	3740	5318	6509	5217	6414	10420	5492	7454	7113	6143	5203	7990	7232	7100	7120	2983	6106
GO:0042575	DNA polymerase complex	cellular component	1405	1621	3622	2247	3302	873	1951	1654	2306	2416	2105	1919	1641	898	2670	788	1954	1811	2391	3043	2833	1078	1664	1971	1662	2035	2935	2059	2259	2286	1962	1727	2866	2138	2245	2265	853	2036
GO:0042597	periplasmic space	cellular component	4815	5619	12845	7242	10085	3294	6307	5284	6645	7949	7295	5521	6186	3397	8571	4236	11719	8714	7843	9754	8732	7918	12341	11881	5212	6810	9607	7103	7323	7953	6394	5414	10526	7169	6954	7826	4013	6685
GO:0043167	ion binding	molecular function	385	357	660	377	600	179	468	449	420	500	372	337	460	234	558	161	349	241	557	840	775	228	330	352	425	521	753	323	477	486	510	463	437	466	577	419	158	360
GO:0043190	ATP-binding cassette (ABC) transporter complex	cellular component	3087	3733	7062	4387	6917	1918	4358	3423	4382	4720	4411	3822	3598	2364	5826	1704	3748	3715	5148	6565	6238	2313	3184	4036	3535	4500	6907	3792	4855	4868	4386	3833	5980	4572	5027	4469	4032	4321
GO:0043934	sporulation	biological process	80	149	195	159	224	114	121	117	146	127	251	130	123	94	183	42	96	112	216	195	214	66	52	120	105	183	299	126	240	145	113	119	233	174	174	139	168	178
GO:0044281	small molecule metabolic process	biological process	168549	192125	402934	246457	362989	115376	229564	182375	247834	263609	263914	210517	206886	112831	318516	97205	228548	212198	280320	352598	325963	140532	200494	244851	192908	235874	362818	239381	274062	304556	233406	210124	384068	250107	264678	257322	108794	244440
GO:0045454	cell redox homeostasis	biological process	5315	5447	11461	6407	9647	3108	7143	5422	7069	7841	7219	5959	5951	3435	10276	2641	6408	5874	9337	10901	10273	3978	5479	6856	5615	6779	10537	6985	8079	9187	7373	5753	10215	7402	8216	7426	3471	6773
GO:0046718	viral entry into host cell	biological process	7	1	10	6	10	11	12	4	13	6	15	5	12	6	26	3	10	10	18	19	7	2	4	10	11	9	11	35	27	13	14	5	27	16	12	10	5	5
GO:0046872	metal ion binding	molecular function	75565	85590	176907	109727	162602	50370	102800	83572	117781	116382	116538	95049	98530	50479	136193	46943	106556	97728	126152	158766	146811	67062	95654	116681	88399	107608	171690	93267	113251	126446	105352	94625	145802	102097	117060	111171	61010	104296
GO:0046906	tetrapyrrole binding	molecular function	26933	31907	69435	46567	70972	13583	36508	33478	52285	48083	31600	39415	41954	16859	45836	20740	43085	42498	41678	56916	52591	27809	36884	49379	35400	39382	71094	27220	32359	38704	40312	37788	39712	31156	42069	43627	26330	31810
GO:0048500	signal recognition particle	cellular component	500	540	1161	795	1070	391	633	531	701	808	878	626	647	351	1014	319	694	617	821	1016	1058	402	617	730	588	725	1147	780	976	1034	676	637	1351	792	755	788	380	743
GO:0050662	coenzyme binding	molecular function	53888	64790	133002	87207	129891	39035	73704	62833	86487	87884	87973	70736	74268	36083	98139	36323	84157	77547	91661	115344	105978	50864	73558	92902	65258	78519	125794	70793	81320	90914	75349	73074	111907	74411	85917	82960	41799	78169
