IPR	description	ERR1809119	ERR1809120	ERR1809121	ERR1809122	ERR1809123	ERR1809124	ERR1809125	ERR1809127	ERR1809128	ERR1809129	ERR1809130	ERR1809131	ERR1809132	ERR1809133	ERR1809134	ERR1809135	ERR1809136	ERR1809137	ERR1809138	ERR1809139	ERR1809140	ERR1809141	ERR1809142	ERR1809143	ERR1809144	ERR1809145	ERR1809146	ERR1809147	ERR1809148	ERR1809149	ERR1809150	ERR1809151	ERR1809152	ERR1809153	ERR1809154	ERR1809155	ERR1809156
IPR000045	Prepilin type IV endopeptidase, peptidase domain	38	23	32	31	38	7	6	0	15	19	20	13	11	5	12	14	7	8	14	13	10	5	13	8	10	12	13	3	13	1	0	10	10	4	2	7	3
IPR000048	IQ motif, EF-hand binding site	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IPR000049	Electron transfer flavoprotein, beta-subunit, conserved site	32	17	32	23	41	7	10	0	24	17	21	21	16	40	34	31	31	24	10	12	14	10	14	13	13	5	2	0	4	5	4	3	1	4	1	1	7
IPR000054	Ribosomal protein L31e	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000055	Restriction endonuclease, type I, HsdS	154	150	154	152	140	24	2	0	257	248	255	250	208	119	110	120	111	64	17	7	8	19	18	21	25	4	3	0	7	3	1	57	42	2	3	0	6
IPR000056	Ribulose-phosphate 3-epimerase-like	609	584	627	599	617	149	125	0	559	580	551	574	484	624	554	641	609	386	140	136	108	155	164	189	179	118	131	23	193	89	22	141	103	109	56	74	65
IPR000058	Zinc finger, AN1-type	2	1	2	0	2	0	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
IPR000059	NUDIX hydrolase, NudL, conserved site	3	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000060	BCCT transporter family	130	141	150	147	150	32	5	0	54	36	52	42	43	18	13	24	24	11	11	17	11	47	43	36	49	21	19	2	8	3	4	10	4	41	9	5	9
IPR000064	Endopeptidase, NLPC/P60 domain	691	608	651	647	677	137	121	1	661	643	659	635	620	610	490	599	553	376	370	376	283	293	291	302	305	204	238	21	348	58	42	122	103	124	109	66	46
IPR000067	Flagellar M-ring protein FliF	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000069	Envelope glycoprotein M, flavivirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
IPR000070	Pectinesterase, catalytic	217	183	188	203	234	38	32	0	73	70	84	63	70	173	194	170	218	99	109	116	63	28	25	24	19	34	39	6	57	22	40	7	3	3	15	16	15
IPR000073	Alpha/beta hydrolase fold-1	27	29	35	28	31	8	25	0	24	16	14	22	16	35	34	42	40	23	18	23	14	32	32	23	27	12	9	1	16	19	1	50	29	11	1	6	18
IPR000082	SEA domain	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000084	PE-PGRS family, N-terminal	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000086	NUDIX hydrolase domain	253	227	223	221	258	72	111	0	304	262	276	263	232	195	185	204	203	128	147	147	98	149	154	136	148	104	96	12	136	60	43	118	100	99	43	47	60
IPR000089	Biotin/lipoyl attachment	428	399	402	380	420	100	73	0	310	274	307	310	267	334	309	332	342	230	83	75	63	88	102	99	103	119	130	19	81	61	15	135	111	56	29	23	49
IPR000090	Flagellar motor switch protein FliG	11	8	11	14	9	3	3	0	1	3	5	2	1	1	1	0	2	2	1	3	1	4	2	2	1	0	0	0	2	2	0	0	0	1	1	0	0
IPR000092	Polyprenyl synthetase	510	467	511	515	557	129	127	0	428	452	528	467	396	568	545	575	568	401	186	171	134	161	155	196	162	143	132	25	161	142	47	225	202	171	43	73	83
IPR000095	CRIB domain	0	0	1	0	0	0	0	0	2	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000096	Serum amyloid A protein	9	4	10	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
IPR000100	Ribonuclease P	100	116	104	86	85	20	38	0	136	133	139	143	122	97	105	120	98	79	36	40	34	53	58	61	57	103	93	17	49	15	14	44	38	23	16	19	3
IPR000101	Gamma-glutamyltranspeptidase	132	114	152	134	167	35	34	0	64	74	82	64	61	59	59	55	54	50	88	79	50	138	108	103	110	88	59	11	33	6	6	26	21	32	15	38	12
IPR000103	Pyridine nucleotide-disulphide oxidoreductase, class-II	137	111	126	128	119	23	49	0	143	142	152	167	138	87	100	116	120	77	79	58	49	79	75	70	82	93	74	11	73	48	19	82	65	67	21	27	43
IPR000109	Proton-dependent oligopeptide transporter family	180	199	200	196	222	45	40	0	112	105	113	121	114	168	156	163	158	125	51	54	29	55	37	41	50	39	34	8	21	39	9	105	75	62	13	20	105
IPR000110	Ribosomal protein S1	18	17	15	14	30	4	3	0	11	12	19	18	18	8	11	18	14	10	4	2	2	7	4	9	0	4	4	0	5	5	1	19	4	5	1	0	1
IPR000111	Glycoside hydrolase family 27/36, conserved site	24	35	31	31	26	6	3	0	32	39	31	36	23	16	13	20	15	7	3	5	3	20	23	23	23	3	2	0	8	1	3	14	8	8	2	9	0
IPR000114	Ribosomal protein L16	72	94	107	81	88	19	15	0	97	91	101	89	81	70	72	103	86	71	48	39	28	67	57	58	65	73	78	17	29	22	5	32	27	32	19	16	11
IPR000119	Histone-like DNA-binding protein	602	590	636	598	629	156	88	0	477	452	555	471	376	506	489	519	520	335	119	106	65	117	102	105	112	100	101	11	127	76	30	66	56	78	46	40	89
IPR000121	PEP-utilising enzyme, C-terminal	868	795	845	863	902	206	288	0	855	762	868	856	665	813	748	806	811	481	248	270	167	393	372	350	405	310	282	49	378	145	64	332	254	196	122	98	103
IPR000123	RNA-directed DNA polymerase (reverse transcriptase), msDNA	12	12	14	6	14	3	0	0	1	1	3	1	2	5	7	8	7	4	0	0	0	0	0	0	0	2	2	0	1	1	0	0	2	0	2	0	0
IPR000124	Spermadhesin	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000126	Serine proteases, V8 family, serine active site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IPR000131	ATPase, F1 complex, gamma subunit	324	306	344	341	335	82	57	0	408	354	410	339	324	254	273	299	265	193	97	130	73	119	117	126	121	308	318	56	122	37	35	64	83	77	38	38	15
IPR000132	Nitrilase/cyanide hydratase, conserved site	2	1	1	3	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	3	6	12	7	9	2	2	0	0	0	0	0	0	1	0	1	0
IPR000138	Hydroxymethylglutaryl-CoA lyase, active site	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000150	Cof protein	122	95	104	116	131	24	10	0	125	120	108	118	96	108	112	119	108	84	22	10	14	18	16	20	16	13	9	2	29	10	3	50	37	14	4	13	3
IPR000152	EGF-type aspartate/asparagine hydroxylation site	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000153	Reovirus, outer capsid sigma 3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000156	Ran binding domain	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain	18	20	18	18	12	3	5	0	18	17	25	17	9	4	6	2	4	2	2	6	3	2	3	5	4	0	0	0	3	2	0	0	0	4	2	1	0
IPR000160	GGDEF domain	325	286	310	366	341	74	92	0	246	194	239	191	189	77	78	76	78	54	126	118	82	172	188	203	195	82	87	10	183	32	3	20	23	7	62	43	25
IPR000164	Histone H3/CENP-A	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
IPR000165	Glucoamylase	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000169	Cysteine peptidase, cysteine active site	76	86	73	85	89	13	22	0	103	94	100	93	90	108	84	107	85	61	33	33	14	27	20	32	29	17	18	1	18	27	8	34	29	27	7	3	13
IPR000170	High potential iron-sulphur protein	1	0	2	3	0	0	0	0	0	1	1	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	27	24	21	21	21	9	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	4	1	1	3	0	0	0	0	3	0	0	0	0	1	0	0
IPR000175	Sodium:neurotransmitter symporter	238	236	264	242	276	61	72	1	261	310	311	272	243	247	247	295	282	179	112	123	88	153	150	146	157	228	260	25	144	62	18	161	93	97	51	67	27
IPR000178	Translation initiation factor aIF-2, bacterial-like	41	30	44	45	38	9	6	0	46	33	43	36	25	39	50	52	45	31	12	17	5	16	12	11	11	7	14	1	12	1	3	14	7	15	5	4	12
IPR000180	Membrane dipeptidase, active site	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
IPR000182	GNAT domain	750	702	762	731	752	178	233	0	586	551	555	583	444	537	479	538	505	314	292	270	187	291	310	311	323	142	160	23	272	159	55	295	214	154	89	70	118
IPR000183	Ornithine/DAP/Arg decarboxylase	16	10	16	16	19	2	8	0	16	14	9	11	10	17	20	30	27	9	10	9	3	6	4	4	7	5	5	1	11	9	2	19	22	3	5	4	1
IPR000184	Bacterial surface antigen (D15)	194	202	213	202	217	41	54	0	129	130	139	115	95	180	173	192	182	119	58	67	39	53	47	47	48	38	55	4	19	43	17	79	77	58	18	22	76
IPR000185	Protein translocase subunit SecA	87	91	92	91	77	20	42	0	111	85	102	88	63	103	95	96	74	52	43	43	23	50	39	38	51	26	48	1	35	24	10	68	70	39	12	12	23
IPR000189	Prokaryotic transglycosylase, active site	37	26	31	33	42	10	11	0	27	23	36	34	21	34	27	31	33	13	16	15	4	19	19	21	11	16	12	1	4	7	5	11	6	15	6	2	17
IPR000192	Aminotransferase class V domain	1063	1126	1152	1088	1141	255	377	1	1057	1177	1204	1168	995	1222	1161	1306	1299	758	558	521	397	558	488	526	562	563	607	81	609	271	96	440	405	386	157	230	257
IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	1531	1499	1575	1584	1540	347	480	1	1659	1530	1803	1694	1327	1419	1430	1642	1468	1029	583	617	419	826	867	843	901	1127	1142	179	613	297	143	527	450	413	226	231	262
IPR000195	Rab-GTPase-TBC domain	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
IPR000196	Ribosomal protein L19/L19e domain	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000197	Zinc finger, TAZ-type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IPR000198	Rho GTPase-activating protein domain	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
IPR000200	Peptidase C10, streptopain	162	141	152	182	149	42	5	0	77	77	91	82	74	135	159	162	137	89	45	41	29	18	11	19	18	100	115	15	21	16	21	0	1	151	13	18	16
IPR000206	Ribosomal protein L7/L12	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000209	Peptidase S8/S53 domain	781	770	760	771	786	200	206	1	489	472	521	502	459	1020	926	943	1000	625	163	132	122	200	182	188	213	173	193	21	303	182	52	280	219	409	47	75	83
IPR000210	BTB/POZ domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
IPR000217	Tubulin	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
IPR000218	Ribosomal protein L14P	340	357	377	350	376	76	34	0	421	420	408	406	343	340	332	353	339	241	44	44	39	73	68	70	87	107	114	16	70	37	11	102	76	74	8	19	7
IPR000219	Dbl homology (DH) domain	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000222	PPM-type phosphatase, divalent cation binding	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000223	Peptidase S26A, signal peptidase I	16	23	27	23	21	7	7	0	27	26	35	20	22	22	29	21	20	19	15	20	8	16	16	11	21	8	15	4	11	6	5	9	7	11	3	2	2
IPR000225	Armadillo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IPR000237	GRIP domain	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000238	Ribosome-binding factor A	118	134	111	133	121	30	50	0	141	130	159	125	106	126	98	144	120	90	62	52	51	78	80	86	76	59	53	6	66	33	3	56	54	26	17	19	16
IPR000241	Putative RNA methylase domain	165	155	166	175	189	32	72	0	200	186	198	192	162	142	153	155	148	92	68	70	61	79	84	85	91	74	88	9	77	30	10	22	14	58	28	34	28
IPR000242	PTP type protein phosphatase	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IPR000245	V-ATPase proteolipid subunit	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000246	Peptidase T2, asparaginase 2	92	95	102	70	111	26	18	0	99	108	79	93	91	43	62	51	48	26	1	4	3	10	17	18	14	2	3	0	1	5	6	9	7	26	8	0	5
IPR000249	Microcompartment protein, bacteria	52	69	67	64	61	19	19	0	52	48	53	62	34	4	13	11	12	9	3	7	2	11	16	15	19	1	3	1	14	20	0	11	8	11	3	3	5
IPR000250	Peptidase G1	0	0	0	0	0	0	0	0	3	5	2	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000253	Forkhead-associated (FHA) domain	126	89	112	143	123	23	17	0	344	355	373	360	282	102	93	95	91	57	79	81	54	78	76	72	69	52	53	8	58	18	25	22	20	63	22	23	9
IPR000257	Uroporphyrinogen decarboxylase (URO-D)	63	66	83	72	54	18	9	0	18	18	12	18	9	9	13	15	18	7	18	18	17	8	12	15	16	5	5	2	2	4	6	4	0	0	3	0	1
IPR000259	Fimbrial-type adhesion domain	126	139	167	159	150	40	5	0	4	5	10	8	7	0	0	0	0	0	1	0	1	3	1	2	3	0	0	0	0	4	1	2	1	0	5	0	0
IPR000260	NADH:ubiquinone oxidoreductase chain 4, N-terminal	1	0	1	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000262	FMN-dependent dehydrogenase	55	69	68	49	69	16	32	0	32	46	57	39	32	17	20	18	22	13	24	21	20	20	38	35	30	34	28	9	27	11	3	10	9	0	8	10	5
IPR000266	Ribosomal protein S17/S11	246	236	244	258	221	57	12	0	343	301	339	294	269	209	204	214	210	133	30	38	23	50	42	42	42	36	53	10	36	15	3	18	16	16	12	12	8
IPR000269	Copper amine oxidase	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000270	PB1 domain	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000271	Ribosomal protein L34	81	66	102	76	100	13	16	0	98	108	127	87	97	79	91	77	87	69	30	23	20	18	16	22	20	36	27	6	31	17	3	28	17	16	14	21	9
IPR000272	Ion-transport regulator, FXYD motif	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000274	Adenylate cyclase, class-I	73	64	101	62	84	19	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	3	0	2	1	0	1	0	0
IPR000276	G protein-coupled receptor, rhodopsin-like	0	0	0	0	0	0	0	0	2	0	1	1	1	1	1	4	0	0	0	0	0	1	2	0	1	0	2	0	0	0	0	0	0	1	0	0	0
IPR000277	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme	1381	1301	1422	1391	1475	320	424	0	1805	1788	1969	1831	1575	1296	1268	1409	1367	881	518	561	386	650	642	650	713	341	353	52	439	268	172	566	441	350	157	132	210
IPR000281	Helix-turn-helix protein RpiR	84	90	95	71	106	27	20	0	103	89	91	82	91	41	40	39	45	25	38	36	26	28	33	31	33	33	33	7	47	6	2	16	10	12	12	14	3
IPR000283	NADH:ubiquinone oxidoreductase, 75kDa subunit, conserved site	29	33	26	24	28	8	3	0	14	12	17	18	14	9	8	11	8	6	17	16	9	30	22	26	25	23	7	0	14	1	0	32	20	4	5	4	1
IPR000286	Histone deacetylase superfamily	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000290	Colicin immunity protein/pyocin immunity protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000291	D-alanine--D-alanine ligase/VANA/B/C, conserved site	117	100	109	132	105	38	42	0	103	122	98	133	108	115	99	136	119	62	36	46	25	37	40	36	40	42	42	11	59	18	7	52	42	23	7	25	18
IPR000292	Formate/nitrite transporter	52	55	63	53	75	15	25	0	33	33	33	30	31	45	38	43	42	42	30	28	18	25	20	20	30	21	29	0	32	34	0	6	8	52	9	14	7
IPR000293	Channel forming colicin, C-terminal cytotoxic	1	2	2	1	1	1	0	0	15	17	19	18	14	0	0	0	0	0	3	1	5	1	0	3	4	0	0	0	0	0	1	0	0	0	0	0	0
IPR000294	Gamma-carboxyglutamic acid-rich (GLA) domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type	115	114	144	134	121	23	21	0	98	98	98	83	85	141	117	142	127	85	32	26	28	36	33	32	33	23	25	3	18	18	8	30	28	42	6	12	14
IPR000298	Cytochrome c oxidase subunit III domain	2	1	3	3	6	0	0	0	7	10	11	17	15	1	0	0	1	0	0	0	0	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0
IPR000304	Pyrroline-5-carboxylate reductase	13	12	15	11	9	7	8	0	13	7	10	13	7	5	10	5	5	3	14	4	6	24	16	24	29	29	25	4	20	2	0	24	30	2	3	7	5
IPR000305	GIY-YIG nuclease superfamily	121	127	102	115	131	32	21	0	97	133	127	124	127	92	78	85	102	67	42	31	23	45	45	46	36	72	56	8	33	19	6	44	30	16	5	7	6
IPR000307	Ribosomal protein S16	183	192	178	187	170	32	16	0	194	170	194	198	186	197	162	175	184	109	46	45	36	63	38	57	55	114	107	13	46	13	7	35	17	22	12	16	11
IPR000310	Orn/Lys/Arg decarboxylase, major domain	519	531	515	502	532	138	69	1	315	293	346	330	246	163	152	152	149	114	57	57	47	188	196	174	192	364	312	56	59	30	4	40	29	18	29	52	19
IPR000312	Glycosyl transferase, family 3	503	431	495	469	450	95	123	0	401	401	428	455	406	289	325	356	343	200	159	148	129	266	269	285	299	105	98	17	160	94	47	133	106	50	74	61	93
IPR000315	B-box-type zinc finger	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	8	0	0	0	0
IPR000318	Nitrogenase component 1, conserved site	6	1	2	1	2	1	0	0	1	1	1	0	0	2	2	0	1	3	2	5	2	2	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0
IPR000319	Aspartate-semialdehyde dehydrogenase, conserved site	26	18	27	32	30	4	4	0	32	35	35	29	18	22	26	33	26	25	5	7	2	3	2	5	9	6	4	3	4	4	0	1	0	3	2	3	5
IPR000322	Glycoside hydrolase family 31	868	853	864	836	879	187	167	0	885	925	977	933	760	859	783	853	771	527	333	307	230	231	247	215	246	231	208	36	174	172	87	224	180	352	100	49	235
IPR000323	Copper type II, ascorbate-dependent monooxygenase, N-terminal	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase	292	256	310	332	311	62	63	0	361	347	359	334	314	339	335	359	338	228	104	136	87	190	147	149	166	128	146	20	103	56	35	91	73	91	34	39	30
IPR000327	POU-specific domain	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	0	1	0	0	0	4	0	0	0	2	0	0	0	0
IPR000330	SNF2-related, N-terminal domain	62	52	75	52	68	12	19	0	61	60	60	63	55	53	54	46	56	28	25	32	23	33	28	39	27	18	14	2	43	10	6	48	43	11	12	9	4
IPR000334	Glycoside hydrolase, family 45	1	0	0	1	0	0	0	0	2	0	1	0	0	5	0	1	1	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000340	Dual specificity phosphatase, catalytic domain	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000352	Peptide chain release factor class I/class II	459	440	483	464	468	93	96	0	455	453	430	451	405	447	449	469	447	311	171	164	104	193	179	191	156	171	160	32	139	107	27	135	110	152	53	68	72
IPR000357	HEAT repeat	3	2	1	4	2	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000358	Ribonucleotide reductase small subunit	38	24	40	33	35	12	4	0	77	66	77	70	66	15	20	41	19	11	13	11	7	6	6	11	12	30	28	5	9	2	7	2	0	9	5	3	0
IPR000361	FeS cluster biogenesis	34	25	41	46	37	9	5	0	11	8	6	4	8	5	4	10	9	8	2	1	2	5	1	1	3	1	2	1	0	2	1	0	1	0	5	0	0
IPR000362	Fumarate lyase family	9	7	3	2	7	1	2	0	5	7	2	4	4	5	3	7	5	6	3	2	1	4	3	3	5	1	8	2	2	0	0	3	2	2	1	1	2
IPR000372	Leucine-rich repeat N-terminal domain	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000374	Phosphatidate cytidylyltransferase	32	28	31	24	20	3	6	0	28	16	25	14	18	26	20	29	19	11	11	8	5	12	13	9	12	14	11	2	11	7	4	16	12	8	6	4	1
IPR000375	Dynamin central domain	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000380	DNA topoisomerase, type IA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
