IPR	description	ERR4702550	ERR4702560	ERR4702551	ERR4702561	ERR4702552	ERR4702562	ERR4702553	ERR4702563	ERR4702554	ERR4702564	ERR4702555	ERR4702556	ERR4702557	ERR4702558	ERR4702559	ERZ1758440	ERZ1758441	ERZ1758442	ERZ1758444	ERZ1758445	ERZ1758437	ERZ1758447	ERZ1758438	ERZ1758448	ERZ1758439	ERZ1758449
IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	267	419	220	8	3	2	6	464	172	875	194	3	367	650	432	125	19	16	93	62	4	77	109	33	34	92
IPR000175	Sodium:neurotransmitter symporter	56	18	41	0	2	1	1	5	68	30	78	0	39	44	12	7	12	1	21	23	0	15	3	24	7	20
IPR000176	mRNA methyltransferase-like	0	2	0	0	0	0	0	0	3	1	1	0	1	1	3	2	1	0	2	3	0	1	0	1	0	0
IPR000178	Translation initiation factor aIF-2, bacterial-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	8	8	24	42	1	31	24	38	12	42
IPR000180	Membrane dipeptidase, active site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
IPR000182	GNAT domain	812	1218	735	18	11	8	13	434	904	1004	959	7	617	1117	1053	694	166	141	532	519	52	551	558	452	303	550
IPR000183	Ornithine/DAP/Arg decarboxylase	40	96	40	0	1	1	0	53	41	112	48	1	62	109	99	95	24	26	80	81	5	84	84	78	34	93
IPR000184	Bacterial surface antigen (D15)	319	664	294	2	5	4	3	270	359	613	376	0	231	392	603	104	16	22	120	107	7	119	90	109	25	110
IPR000185	Protein translocase subunit SecA	298	312	281	4	1	2	3	179	357	328	386	4	131	206	312	80	17	24	165	177	3	195	67	182	22	129
IPR000189	Prokaryotic transglycosylase, active site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	2	9	12	0	11	14	9	1	4
IPR000192	Aminotransferase class V domain	1217	1641	1105	11	21	9	43	745	1604	1543	1475	39	682	1112	1576	276	72	76	369	368	15	370	234	357	118	364
IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	953	1284	827	8	19	11	18	582	1215	1264	1233	22	436	701	1352	250	38	54	302	328	7	325	190	326	64	270
IPR000195	Rab-GTPase-TBC domain	2	8	2	0	1	0	1	5	3	8	11	3	11	17	14	0	4	0	0	0	0	0	0	0	1	0
IPR000196	Ribosomal protein L19/L19e	16	0	16	0	0	0	1	1	26	0	17	1	1	1	3	0	0	0	2	1	0	2	0	5	0	3
IPR000197	Zinc finger, TAZ-type	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0
IPR000198	Rho GTPase-activating protein domain	2	20	3	2	1	2	1	4	1	4	1	1	9	24	19	2	3	0	0	0	0	0	2	0	0	0
IPR000199	Peptidase C3A/C3B, picornaviral	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IPR000200	Peptidase C10, streptopain	3	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
IPR000203	GPS motif	1	1	1	0	0	0	0	2	0	2	1	0	8	3	0	0	0	0	0	0	0	0	1	0	0	0
IPR000206	Ribosomal protein L7/L12	53	58	49	1	5	7	6	40	97	142	76	4	32	61	66	41	11	11	77	97	3	79	40	80	13	60
IPR000209	Peptidase S8/S53 domain	593	720	490	3	12	3	23	158	650	275	784	24	47	99	618	194	15	50	216	250	4	179	144	191	37	156
IPR000210	BTB/POZ domain	5	5	4	0	0	0	1	1	2	10	5	2	24	20	4	2	9	0	0	0	0	0	0	0	1	1
IPR000217	Tubulin	3	5	3	2	5	2	3	2	5	11	5	26	7	17	3	2	2	0	0	0	0	0	1	2	4	2
IPR000218	Ribosomal protein L14P	302	316	246	6	5	6	17	164	354	406	362	18	100	196	296	72	15	13	110	131	2	135	64	126	20	96
IPR000219	Dbl homology (DH) domain	3	14	3	0	0	1	2	1	2	8	6	5	9	4	12	6	5	0	0	0	0	0	3	0	0	1
IPR000222	PPM-type phosphatase, divalent cation binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IPR000223	Peptidase S26A, signal peptidase I	242	228	191	2	4	1	0	128	290	252	311	4	97	173	258	84	20	20	126	127	1	149	63	142	29	102
IPR000225	Armadillo	8	7	9	1	1	0	0	0	9	12	12	7	14	25	4	2	3	0	1	0	0	1	1	1	2	0
IPR000232	Heat shock factor (HSF)-type, DNA-binding	0	0	0	0	1	0	0	0	1	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR000233	Cadherin, cytoplasmic domain	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000237	GRIP domain	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0
IPR000238	Ribosome-binding factor A	101	185	88	1	3	0	1	78	118	176	124	1	93	99	155	54	10	10	70	75	3	74	41	78	15	59
IPR000240	Serpin B9/maspin	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000241	Putative RNA methylase domain	81	262	87	3	1	1	0	127	99	196	115	0	19	49	245	27	3	6	38	36	1	32	21	39	6	34
IPR000242	PTP type protein phosphatase	5	15	1	0	0	0	2	5	3	14	3	0	20	15	6	4	4	0	3	0	0	0	6	1	2	9
IPR000243	Peptidase T1A, proteasome beta-subunit	0	0	1	0	0	0	1	0	4	0	3	0	2	0	1	0	0	0	2	3	0	2	0	4	0	1
IPR000245	V-ATPase proteolipid subunit	0	2	3	0	0	1	0	0	3	0	6	1	2	1	0	0	1	0	2	1	0	0	0	3	0	0
IPR000246	Peptidase T2, asparaginase 2	81	179	80	2	1	1	2	23	85	44	59	1	47	53	179	21	3	6	25	15	3	28	17	22	13	21
IPR000249	Microcompartment protein, bacteria	40	8	33	3	1	1	1	15	35	25	29	0	6	4	7	2	0	6	18	7	12	13	1	8	1	9
IPR000250	Peptidase G1	2	1	1	0	0	0	0	0	4	1	4	0	0	0	3	1	0	0	2	2	0	3	1	3	0	0
IPR000253	Forkhead-associated (FHA) domain	240	254	199	3	4	0	4	233	211	360	240	5	122	183	200	70	36	47	98	73	1	96	61	66	47	83
IPR000254	Cellulose-binding domain, fungal	0	0	0	0	0	0	0	1	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	3	0
IPR000257	Uroporphyrinogen decarboxylase (URO-D)	250	631	229	8	3	3	2	371	254	719	310	6	282	471	670	72	15	13	69	61	2	57	61	54	19	72
IPR000259	Fimbrial-type adhesion domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
IPR000260	NADH:ubiquinone oxidoreductase chain 4, N-terminal	39	103	18	0	0	0	0	31	34	50	39	0	39	48	93	31	6	4	22	15	0	16	26	15	6	18
IPR000261	EH domain	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
IPR000262	FMN-dependent dehydrogenase	211	282	171	9	5	2	4	369	158	686	204	1	142	277	291	56	12	16	72	42	3	63	53	32	23	45
IPR000263	Geminivirus AR1/BR1 coat protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IPR000266	Ribosomal protein S17/S11	176	195	163	4	4	4	13	92	226	224	226	5	97	147	182	52	14	15	102	109	2	118	45	120	19	86
IPR000268	DNA-directed RNA polymerase, subunit N/Rpb10	5	1	17	0	0	0	0	1	21	3	8	0	0	0	3	3	0	0	5	2	0	3	2	1	0	2
IPR000269	Copper amine oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	1
IPR000270	PB1 domain	0	2	0	0	1	1	1	0	0	1	1	1	2	2	3	0	1	0	0	1	0	0	0	0	0	0
IPR000271	Ribosomal protein L34	51	104	60	3	1	0	3	62	73	160	81	2	37	40	92	39	3	7	36	39	1	34	32	36	11	35
IPR000274	Adenylate cyclase, class-I	5	3	2	5	0	0	0	3	5	5	3	0	0	1	3	0	0	1	1	1	2	0	1	2	1	3
IPR000276	G protein-coupled receptor, rhodopsin-like	1	1	2	0	0	0	0	7	0	5	0	0	55	53	2	0	59	0	0	0	0	0	0	0	31	0
IPR000277	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme	631	1060	573	13	16	8	17	1034	636	2153	728	15	1051	1619	936	197	59	39	145	131	9	160	163	108	71	150
IPR000281	Helix-turn-helix protein RpiR	3	7	3	2	1	0	1	0	6	3	4	0	17	40	12	6	2	0	2	1	9	3	8	2	17	5
IPR000283	NADH:ubiquinone oxidoreductase, 75kDa subunit, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	1	10	15	0	9	12	7	1	7
IPR000286	Histone deacetylase family	31	39	17	0	0	0	0	38	30	49	22	0	36	41	51	43	14	10	28	26	2	30	36	19	21	32
IPR000289	Ribosomal protein S28e	21	0	8	0	0	0	0	1	25	0	12	0	0	2	1	0	0	0	4	4	0	5	0	1	0	2
IPR000290	Colicin immunity protein/pyocin immunity protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0
IPR000291	D-alanine--D-alanine ligase/VANA/B/C, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	15	23	0	16	9	20	1	16
IPR000292	Formate/nitrite transporter	34	204	39	0	0	1	0	1	39	13	37	0	0	3	198	26	0	1	9	8	2	13	18	13	0	6
IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type	196	379	124	4	2	2	2	197	195	409	212	1	123	202	399	102	17	18	76	93	5	75	91	87	27	84
IPR000298	Cytochrome c oxidase subunit III-like	122	300	120	5	3	1	5	199	109	389	108	4	192	303	241	76	15	21	77	63	3	67	60	45	23	71
IPR000301	Tetraspanin	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
IPR000304	Pyrroline-5-carboxylate reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	5	7	6	18	1	15	23	16	10	18
IPR000305	GIY-YIG endonuclease	565	556	542	5	4	2	4	144	833	408	707	1	153	205	573	206	30	37	312	336	5	326	171	353	40	289
IPR000306	FYVE zinc finger	4	5	0	0	0	0	0	3	3	2	3	1	10	1	2	2	0	0	1	1	0	0	0	0	0	0
IPR000307	Ribosomal protein S16	166	157	144	3	4	3	4	98	199	231	194	7	71	99	137	48	8	9	86	95	2	101	44	101	15	62
IPR000308	14-3-3 protein	1	1	1	3	2	3	0	1	0	3	4	5	3	3	0	0	2	0	0	0	0	0	0	0	0	0
IPR000310	Orn/Lys/Arg decarboxylase, major domain	86	307	77	7	1	2	1	357	79	661	88	3	65	157	369	25	5	6	32	24	3	32	21	14	14	17
IPR000312	Glycosyl transferase, family 3	241	521	236	8	3	1	3	315	312	528	312	2	159	270	468	69	9	16	58	70	5	62	52	71	23	63
IPR000313	PWWP domain	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR000315	B-box-type zinc finger	8	3	3	1	0	0	1	2	3	8	2	0	1	4	2	2	2	0	1	3	0	0	3	1	2	1
IPR000318	Nitrogenase component 1, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	0	2
IPR000319	Aspartate-semialdehyde dehydrogenase, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	1	0	1	1	2	3	2
IPR000320	Hedgehog, N-terminal signalling domain	2	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR000322	Glycoside hydrolase family 31	38	50	32	1	0	0	2	17	30	57	27	3	53	110	43	21	13	2	16	2	5	7	15	7	6	13
IPR000323	Copper type II, ascorbate-dependent monooxygenase, N-terminal	0	1	1	0	0	0	0	0	0	2	0	0	3	3	1	0	3	0	1	0	0	0	0	0	2	0
IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase	192	293	163	1	0	5	3	39	268	92	200	0	33	65	250	92	11	20	119	115	14	125	71	124	20	97
IPR000327	POU-specific domain	2	0	0	0	0	0	0	0	0	1	1	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0
IPR000330	SNF2-related, N-terminal domain	295	531	262	6	0	2	4	241	313	438	274	3	174	238	565	161	40	25	122	112	8	150	138	108	51	107
IPR000331	Rap GTPase activating protein domain	1	25	4	0	0	0	0	0	1	3	6	0	2	2	15	7	0	0	0	0	0	0	3	0	2	0
IPR000334	Glycoside hydrolase, family 45	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000335	Bleomycin resistance protein	0	1	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	2	0	0	0	0	0	0	1	3
IPR000337	GPCR, family 3	0	0	0	1	0	0	0	0	0	2	0	1	3	2	0	0	3	0	0	0	0	0	3	1	0	0
IPR000340	Dual specificity phosphatase, catalytic domain	36	56	46	0	4	0	2	9	44	19	61	1	27	54	55	21	5	1	13	16	0	15	16	13	5	15
IPR000341	Phosphatidylinositol 3-kinase Ras-binding (PI3K RBD) domain	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
IPR000343	Tetrapyrrole biosynthesis, glutamyl-tRNA reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	5	15	11	0	17	18	14	10	18
IPR000344	7TM GPCR, serpentine receptor class a (Sra)	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000352	Peptide chain release factor class I	525	740	485	3	3	6	9	352	649	709	713	3	255	432	659	149	30	43	238	260	6	268	129	234	42	195
IPR000354	Involucrin repeat	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000357	HEAT repeat	17	18	16	0	0	0	2	7	17	8	26	1	5	11	13	4	1	1	3	4	0	1	2	3	4	8
IPR000358	Ribonucleotide reductase small subunit family	191	514	201	6	2	2	1	285	235	535	249	0	134	263	463	81	13	13	83	94	3	88	66	91	16	54
IPR000361	FeS cluster biogenesis	81	282	64	5	23	0	15	126	78	228	100	8	93	136	295	101	16	18	71	62	4	72	82	50	30	68
IPR000362	Fumarate lyase family	134	248	111	1	0	1	0	149	159	291	156	2	130	216	276	161	40	40	129	122	9	147	135	143	50	141
IPR000366	GPCR fungal pheromone mating factor, STE2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IPR000367	G-protein alpha subunit, group S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000368	Sucrose synthase	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR000372	Leucine-rich repeat N-terminal domain	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
